payout_id,representative_id,product_id,program_id,payout_month,sales_target,actual_sales,sales_achievement,base_incentive,achievement_multiplier,calculated_payout,maximum_payout,expected_payout,actual_payout,payout_difference,status
PAYOUT_000021,FR0002,P003,PROGRAM_P003,2026-07-01,189499.96,64494.74,34.03,3224.74,0.5,1612.37,6449.47,1612.37,1612.37,0.0,Paid
PAYOUT_000022,FR0002,P015,PROGRAM_P015,2026-01-01,100039.13,148909.14,148.85,7445.46,1.5,11168.19,14890.91,11168.19,11168.19,0.0,Pending
PAYOUT_000023,FR0002,P015,PROGRAM_P015,2026-02-01,296591.29,315206.64,106.28,15760.33,1.5,23640.5,31520.66,23640.5,23640.5,0.0,Adjusted
PAYOUT_000024,FR0002,P015,PROGRAM_P015,2026-03-01,103260.49,165426.26,160.2,8271.31,1.5,12406.97,16542.63,12406.97,12406.97,0.0,Pending
PAYOUT_000025,FR0002,P015,PROGRAM_P015,2026-04-01,298682.4,169629.17,56.79,8481.46,1.0,8481.46,16962.92,8481.46,8481.46,0.0,Paid
PAYOUT_000026,FR0002,P015,PROGRAM_P015,2026-05-01,101313.77,169906.63,167.7,8495.33,1.5,12743.0,16990.66,12743.0,12743.0,0.0,Pending
PAYOUT_000027,FR0002,P015,PROGRAM_P015,2026-06-01,142964.56,150111.33,105.0,7505.57,1.5,11258.35,15011.13,11258.35,11258.35,0.0,Paid
PAYOUT_000028,FR0002,P015,PROGRAM_P015,2026-07-01,104340.27,173120.7,165.92,8656.04,1.5,12984.05,17312.07,12984.05,12984.05,0.0,Adjusted
PAYOUT_000029,FR0002,P026,PROGRAM_P026,2026-01-01,264467.49,134129.37,50.72,6706.47,1.0,6706.47,10059.7,6706.47,6706.47,0.0,Adjusted
PAYOUT_000030,FR0002,P026,PROGRAM_P026,2026-02-01,202254.3,133128.63,65.82,6656.43,1.0,6656.43,9984.65,6656.43,6656.43,0.0,Adjusted
PAYOUT_000031,FR0002,P026,PROGRAM_P026,2026-03-01,285184.49,121765.26,42.7,6088.26,0.5,3044.13,9132.39,3044.13,3044.13,0.0,Pending
PAYOUT_000032,FR0002,P026,PROGRAM_P026,2026-04-01,118857.43,132900.24,111.81,6645.01,1.5,9967.52,9967.52,9967.52,9967.52,0.0,Paid
PAYOUT_000033,FR0002,P026,PROGRAM_P026,2026-05-01,171131.15,190005.36,111.03,9500.27,1.5,14250.4,14250.4,14250.4,16496.08,2245.67,Paid
PAYOUT_000034,FR0002,P026,PROGRAM_P026,2026-06-01,277925.07,262664.02,94.51,13133.2,1.25,16416.5,19699.8,16416.5,16416.5,0.0,Pending
PAYOUT_000035,FR0002,P026,PROGRAM_P026,2026-07-01,146598.83,118311.8,80.7,5915.59,1.25,7394.49,8873.39,7394.49,7394.49,0.0,Paid
PAYOUT_000036,FR0002,P018,PROGRAM_P018,2026-01-01,118381.02,105705.93,89.29,5285.3,1.25,6606.62,13213.24,6606.62,6606.62,0.0,Paid
PAYOUT_000037,FR0002,P018,PROGRAM_P018,2026-02-01,213812.99,89035.31,41.64,4451.77,0.5,2225.88,11129.41,2225.88,2225.88,0.0,Pending
PAYOUT_000038,FR0002,P018,PROGRAM_P018,2026-03-01,246853.19,98280.37,39.81,4914.02,0.5,2457.01,12285.05,2457.01,2457.01,0.0,Adjusted
PAYOUT_000039,FR0002,P018,PROGRAM_P018,2026-04-01,164938.41,104643.95,63.44,5232.2,1.0,5232.2,13080.49,5232.2,5232.2,0.0,Paid
PAYOUT_000040,FR0002,P018,PROGRAM_P018,2026-05-01,134580.5,89120.23,66.22,4456.01,1.0,4456.01,11140.03,4456.01,12887.36,8431.35,Adjusted
PAYOUT_000041,FR0002,P018,PROGRAM_P018,2026-06-01,240569.58,93161.94,38.73,4658.1,0.5,2329.05,11645.24,2329.05,2329.05,0.0,Pending
PAYOUT_000042,FR0002,P018,PROGRAM_P018,2026-07-01,219046.24,90786.53,41.45,4539.33,0.5,2269.66,11348.32,2269.66,2269.66,0.0,Paid
PAYOUT_000043,FR0005,P004,PROGRAM_P004,2026-01-01,107474.32,158574.58,147.55,7928.73,1.5,11893.09,19821.82,11893.09,11893.09,0.0,Adjusted
PAYOUT_000044,FR0005,P004,PROGRAM_P004,2026-02-01,176309.22,128227.02,72.73,6411.35,1.0,6411.35,16028.38,6411.35,6411.35,0.0,Pending
PAYOUT_000045,FR0005,P004,PROGRAM_P004,2026-03-01,284374.3,141439.66,49.74,7071.98,0.5,3535.99,17679.96,3535.99,3535.99,0.0,Paid
PAYOUT_000046,FR0005,P004,PROGRAM_P004,2026-04-01,169586.04,137902.96,81.32,6895.15,1.25,8618.93,17237.87,8618.93,8618.93,0.0,Paid
PAYOUT_000047,FR0005,P004,PROGRAM_P004,2026-05-01,183304.34,148711.05,81.13,7435.55,1.25,9294.44,18588.88,9294.44,9294.44,0.0,Pending
PAYOUT_000048,FR0005,P004,PROGRAM_P004,2026-06-01,273957.3,138466.49,50.54,6923.32,1.0,6923.32,17308.31,6923.32,6923.32,0.0,Pending
PAYOUT_000049,FR0005,P004,PROGRAM_P004,2026-07-01,249535.73,143098.62,57.35,7154.93,1.0,7154.93,17887.33,7154.93,7154.93,0.0,Adjusted
PAYOUT_000050,FR0005,P023,PROGRAM_P023,2026-01-01,285730.63,68452.28,23.96,3422.61,0.5,1711.31,8556.53,1711.31,1711.31,0.0,Adjusted
PAYOUT_000051,FR0005,P023,PROGRAM_P023,2026-02-01,255483.72,64424.48,25.22,3221.22,0.5,1610.61,8053.06,1610.61,1610.61,0.0,Paid
PAYOUT_000052,FR0005,P023,PROGRAM_P023,2026-03-01,110825.59,63983.17,57.73,3199.16,1.0,3199.16,7997.9,3199.16,3199.16,0.0,Adjusted
PAYOUT_000053,FR0005,P023,PROGRAM_P023,2026-04-01,108236.45,64360.68,59.46,3218.03,1.0,3218.03,8045.09,3218.03,3218.03,0.0,Adjusted
PAYOUT_000054,FR0005,P023,PROGRAM_P023,2026-05-01,212982.58,61782.42,29.01,3089.12,0.5,1544.56,7722.8,1544.56,1544.56,0.0,Paid
PAYOUT_000055,FR0005,P023,PROGRAM_P023,2026-06-01,200480.32,62633.37,31.24,3131.67,0.5,1565.83,7829.17,1565.83,1565.83,0.0,Pending
PAYOUT_000056,FR0005,P023,PROGRAM_P023,2026-07-01,130639.5,69153.88,52.93,3457.69,1.0,3457.69,8644.24,3457.69,10520.41,7062.72,Paid
PAYOUT_000057,FR0005,P025,PROGRAM_P025,2026-01-01,294208.05,114445.65,38.9,5722.28,0.5,2861.14,14305.71,2861.14,2861.14,0.0,Adjusted
PAYOUT_000058,FR0005,P025,PROGRAM_P025,2026-02-01,215050.97,116605.29,54.22,5830.26,1.0,5830.26,14575.66,5830.26,5830.26,0.0,Pending
PAYOUT_000059,FR0005,P025,PROGRAM_P025,2026-03-01,144417.13,103344.42,71.56,5167.22,1.0,5167.22,12918.05,5167.22,5167.22,0.0,Paid
PAYOUT_000060,FR0005,P025,PROGRAM_P025,2026-04-01,257273.66,118921.17,46.22,5946.06,0.5,2973.03,14865.15,2973.03,2973.03,0.0,Pending
PAYOUT_000061,FR0005,P025,PROGRAM_P025,2026-05-01,126437.81,117548.04,92.97,5877.4,1.25,7346.75,14693.51,7346.75,7346.75,0.0,Pending
PAYOUT_000062,FR0005,P025,PROGRAM_P025,2026-06-01,195170.93,121929.06,62.47,6096.45,1.0,6096.45,15241.13,6096.45,6096.45,0.0,Adjusted
PAYOUT_000063,FR0005,P025,PROGRAM_P025,2026-07-01,109862.22,113897.41,103.67,5694.87,1.5,8542.31,14237.18,8542.31,8542.31,0.0,Paid
PAYOUT_000064,FR0005,P010,PROGRAM_P010,2026-01-01,152511.6,46953.55,30.79,2347.68,0.5,1173.84,3521.52,1173.84,1173.84,0.0,Paid
PAYOUT_000065,FR0005,P010,PROGRAM_P010,2026-02-01,200364.62,44971.56,22.44,2248.58,0.5,1124.29,3372.87,1124.29,1124.29,0.0,Adjusted
PAYOUT_000066,FR0005,P010,PROGRAM_P010,2026-03-01,126075.03,41954.12,33.28,2097.71,0.5,1048.85,3146.56,1048.85,1048.85,0.0,Pending
PAYOUT_000067,FR0005,P010,PROGRAM_P010,2026-04-01,196184.5,46508.32,23.71,2325.42,0.5,1162.71,3488.12,1162.71,1162.71,0.0,Pending
PAYOUT_000068,FR0005,P010,PROGRAM_P010,2026-05-01,197572.22,42626.13,21.57,2131.31,0.5,1065.65,3196.96,1065.65,1065.65,0.0,Adjusted
PAYOUT_000069,FR0005,P010,PROGRAM_P010,2026-06-01,214266.14,45966.63,21.45,2298.33,0.5,1149.17,3447.5,1149.17,1149.17,0.0,Adjusted
PAYOUT_000070,FR0005,P010,PROGRAM_P010,2026-07-01,223199.37,43389.85,19.44,2169.49,0.5,1084.75,3254.24,1084.75,1084.75,0.0,Adjusted
PAYOUT_000071,FR0006,P018,PROGRAM_P018,2026-01-01,204849.56,74219.86,36.23,3710.99,0.5,1855.5,9277.48,1855.5,1855.5,0.0,Pending
PAYOUT_000072,FR0006,P018,PROGRAM_P018,2026-02-01,114328.8,72564.91,63.47,3628.25,1.0,3628.25,9070.61,3628.25,3628.25,0.0,Paid
PAYOUT_000073,FR0006,P018,PROGRAM_P018,2026-03-01,164682.33,67755.13,41.14,3387.76,0.5,1693.88,8469.39,1693.88,1693.88,0.0,Adjusted
PAYOUT_000074,FR0006,P018,PROGRAM_P018,2026-04-01,117918.93,60305.46,51.14,3015.27,1.0,3015.27,7538.18,3015.27,3015.27,0.0,Adjusted
PAYOUT_000075,FR0006,P018,PROGRAM_P018,2026-05-01,182716.41,68398.57,37.43,3419.93,0.5,1709.96,8549.82,1709.96,1709.96,0.0,Paid
PAYOUT_000076,FR0006,P018,PROGRAM_P018,2026-06-01,169661.57,71693.07,42.26,3584.65,0.5,1792.33,8961.63,1792.33,1792.33,0.0,Paid
PAYOUT_000077,FR0006,P018,PROGRAM_P018,2026-07-01,168904.98,74489.35,44.1,3724.47,0.5,1862.23,9311.17,1862.23,1862.23,0.0,Adjusted
PAYOUT_000078,FR0006,P014,PROGRAM_P014,2026-01-01,104841.37,52512.05,50.09,2625.6,1.0,2625.6,6564.01,2625.6,2625.6,0.0,Paid
PAYOUT_000079,FR0006,P014,PROGRAM_P014,2026-02-01,133851.05,62313.15,46.55,3115.66,0.5,1557.83,7789.14,1557.83,1557.83,0.0,Paid
PAYOUT_000080,FR0006,P014,PROGRAM_P014,2026-03-01,223244.2,54528.23,24.43,2726.41,0.5,1363.21,6816.03,1363.21,1363.21,0.0,Paid
PAYOUT_000081,FR0006,P014,PROGRAM_P014,2026-04-01,224636.43,60441.82,26.91,3022.09,0.5,1511.05,7555.23,1511.05,1511.05,0.0,Paid
PAYOUT_000082,FR0006,P014,PROGRAM_P014,2026-05-01,108975.51,56293.92,51.66,2814.7,1.0,2814.7,7036.74,2814.7,2814.7,0.0,Pending
PAYOUT_000083,FR0006,P014,PROGRAM_P014,2026-06-01,139937.04,62546.33,44.7,3127.32,0.5,1563.66,7818.29,1563.66,1563.66,0.0,Paid
PAYOUT_000084,FR0006,P014,PROGRAM_P014,2026-07-01,131198.24,57433.63,43.78,2871.68,0.5,1435.84,7179.2,1435.84,1435.84,0.0,Adjusted
PAYOUT_000085,FR0006,P003,PROGRAM_P003,2026-01-01,270552.83,75936.75,28.07,3796.84,0.5,1898.42,7593.68,1898.42,1898.42,0.0,Pending
PAYOUT_000086,FR0006,P003,PROGRAM_P003,2026-02-01,247916.33,73249.04,29.55,3662.45,0.5,1831.23,7324.9,1831.23,1831.23,0.0,Pending
PAYOUT_000087,FR0006,P003,PROGRAM_P003,2026-03-01,289788.18,84565.56,29.18,4228.28,0.5,2114.14,8456.56,2114.14,2114.14,0.0,Pending
PAYOUT_000088,FR0006,P003,PROGRAM_P003,2026-04-01,273750.47,71483.42,26.11,3574.17,0.5,1787.09,7148.34,1787.09,1787.09,0.0,Paid
PAYOUT_000089,FR0006,P003,PROGRAM_P003,2026-05-01,102746.66,74400.99,72.41,3720.05,1.0,3720.05,7440.1,3720.05,3720.05,0.0,Adjusted
PAYOUT_000090,FR0006,P003,PROGRAM_P003,2026-06-01,260856.15,82079.06,31.47,4103.95,0.5,2051.98,8207.91,2051.98,2051.98,0.0,Paid
PAYOUT_000091,FR0006,P003,PROGRAM_P003,2026-07-01,190012.31,84446.96,44.44,4222.35,0.5,2111.17,8444.7,2111.17,2111.17,0.0,Pending
PAYOUT_000092,FR0007,P004,PROGRAM_P004,2026-01-01,166375.34,101757.97,61.16,5087.9,1.0,5087.9,12719.75,5087.9,5087.9,0.0,Adjusted
PAYOUT_000093,FR0007,P004,PROGRAM_P004,2026-02-01,207601.09,110382.8,53.17,5519.14,1.0,5519.14,13797.85,5519.14,5519.14,0.0,Pending
PAYOUT_000094,FR0007,P004,PROGRAM_P004,2026-03-01,209284.84,101946.37,48.71,5097.32,0.5,2548.66,12743.3,2548.66,2548.66,0.0,Paid
PAYOUT_000095,FR0007,P004,PROGRAM_P004,2026-04-01,209760.01,116009.96,55.31,5800.5,1.0,5800.5,14501.25,5800.5,5800.5,0.0,Adjusted
PAYOUT_000096,FR0007,P004,PROGRAM_P004,2026-05-01,245984.72,121887.99,49.55,6094.4,0.5,3047.2,15236.0,3047.2,3047.2,0.0,Pending
PAYOUT_000097,FR0007,P004,PROGRAM_P004,2026-06-01,239014.23,115748.16,48.43,5787.41,0.5,2893.7,14468.52,2893.7,2893.7,0.0,Adjusted
PAYOUT_000098,FR0007,P004,PROGRAM_P004,2026-07-01,103677.7,119104.61,114.88,5955.23,1.5,8932.85,14888.08,8932.85,8932.85,0.0,Adjusted
PAYOUT_000099,FR0007,P015,PROGRAM_P015,2026-01-01,281208.06,137385.01,48.86,6869.25,0.5,3434.63,13738.5,3434.63,3434.63,0.0,Adjusted
PAYOUT_000100,FR0007,P015,PROGRAM_P015,2026-02-01,108696.4,146382.04,134.67,7319.1,1.5,10978.65,14638.2,10978.65,13511.53,2532.88,Paid
PAYOUT_000101,FR0007,P015,PROGRAM_P015,2026-03-01,140139.21,144312.46,102.98,7215.62,1.5,10823.43,14431.25,10823.43,10823.43,0.0,Adjusted
PAYOUT_000102,FR0007,P015,PROGRAM_P015,2026-04-01,223592.96,124354.95,55.62,6217.75,1.0,6217.75,12435.5,6217.75,6217.75,0.0,Pending
PAYOUT_000103,FR0007,P015,PROGRAM_P015,2026-05-01,192992.16,139186.17,72.12,6959.31,1.0,6959.31,13918.62,6959.31,6959.31,0.0,Pending
PAYOUT_000104,FR0007,P015,PROGRAM_P015,2026-06-01,113319.56,133601.2,117.9,6680.06,1.5,10020.09,13360.12,10020.09,10020.09,0.0,Adjusted
PAYOUT_000105,FR0007,P015,PROGRAM_P015,2026-07-01,154262.08,129127.57,83.71,6456.38,1.25,8070.47,12912.76,8070.47,16739.22,8668.75,Adjusted
PAYOUT_000106,FR0007,P012,PROGRAM_P012,2026-01-01,172043.83,144542.23,84.01,7227.11,1.25,9033.89,14454.22,9033.89,9033.89,0.0,Pending
PAYOUT_000107,FR0007,P012,PROGRAM_P012,2026-02-01,103815.66,140784.89,135.61,7039.24,1.5,10558.87,14078.49,10558.87,10558.87,0.0,Adjusted
PAYOUT_000108,FR0007,P012,PROGRAM_P012,2026-03-01,177304.65,133772.97,75.45,6688.65,1.25,8360.81,13377.3,8360.81,8360.81,0.0,Paid
PAYOUT_000109,FR0007,P012,PROGRAM_P012,2026-04-01,201708.07,152213.56,75.46,7610.68,1.25,9513.35,15221.36,9513.35,9513.35,0.0,Adjusted
PAYOUT_000110,FR0007,P012,PROGRAM_P012,2026-05-01,119920.74,137593.84,114.74,6879.69,1.5,10319.54,13759.38,10319.54,10319.54,0.0,Paid
PAYOUT_000111,FR0007,P012,PROGRAM_P012,2026-06-01,196932.43,156600.3,79.52,7830.01,1.25,9787.52,15660.03,9787.52,9787.52,0.0,Adjusted
PAYOUT_000112,FR0007,P012,PROGRAM_P012,2026-07-01,206312.13,155167.6,75.21,7758.38,1.25,9697.98,15516.76,9697.98,9697.98,0.0,Pending
PAYOUT_000113,FR0007,P022,PROGRAM_P022,2026-01-01,139775.04,79878.87,57.15,3993.94,1.0,3993.94,7987.89,3993.94,3993.94,0.0,Paid
PAYOUT_000114,FR0007,P022,PROGRAM_P022,2026-02-01,212137.51,93269.75,43.97,4663.49,0.5,2331.74,9326.98,2331.74,2331.74,0.0,Adjusted
PAYOUT_000115,FR0007,P022,PROGRAM_P022,2026-03-01,104297.69,80865.82,77.53,4043.29,1.25,5054.11,8086.58,5054.11,8280.64,3226.53,Adjusted
PAYOUT_000116,FR0007,P022,PROGRAM_P022,2026-04-01,160985.5,92434.25,57.42,4621.71,1.0,4621.71,9243.43,4621.71,4621.71,0.0,Paid
PAYOUT_000117,FR0007,P022,PROGRAM_P022,2026-05-01,178679.96,85126.43,47.64,4256.32,0.5,2128.16,8512.64,2128.16,2128.16,0.0,Pending
PAYOUT_000118,FR0007,P022,PROGRAM_P022,2026-06-01,103674.45,86653.4,83.58,4332.67,1.25,5415.84,8665.34,5415.84,5415.84,0.0,Adjusted
PAYOUT_000119,FR0007,P022,PROGRAM_P022,2026-07-01,170382.62,88195.07,51.76,4409.75,1.0,4409.75,8819.51,4409.75,4409.75,0.0,Adjusted
PAYOUT_000120,FR0007,P024,PROGRAM_P024,2026-01-01,160465.24,161912.6,100.9,8095.63,1.5,12143.45,16191.26,12143.45,12143.45,0.0,Adjusted
PAYOUT_000121,FR0007,P024,PROGRAM_P024,2026-02-01,155175.66,87714.74,56.53,4385.74,1.0,4385.74,8771.47,4385.74,4385.74,0.0,Pending
PAYOUT_000122,FR0007,P024,PROGRAM_P024,2026-03-01,225158.47,100109.76,44.46,5005.49,0.5,2502.74,10010.98,2502.74,2502.74,0.0,Paid
PAYOUT_000123,FR0007,P024,PROGRAM_P024,2026-04-01,278080.42,84141.92,30.26,4207.1,0.5,2103.55,8414.19,2103.55,2103.55,0.0,Pending
PAYOUT_000124,FR0007,P024,PROGRAM_P024,2026-05-01,288827.34,90011.45,31.16,4500.57,0.5,2250.29,9001.15,2250.29,2250.29,0.0,Paid
PAYOUT_000125,FR0007,P024,PROGRAM_P024,2026-06-01,145116.54,160123.67,110.34,8006.18,1.5,12009.28,16012.37,12009.28,16085.35,4076.08,Paid
PAYOUT_000126,FR0007,P024,PROGRAM_P024,2026-07-01,231386.35,86802.86,37.51,4340.14,0.5,2170.07,8680.29,2170.07,2170.07,0.0,Pending
PAYOUT_000127,FR0007,P027,PROGRAM_P027,2026-01-01,245977.93,110322.12,44.85,5516.11,0.5,2758.05,8274.16,2758.05,2758.05,0.0,Adjusted
PAYOUT_000128,FR0007,P027,PROGRAM_P027,2026-02-01,292121.14,112841.89,38.63,5642.09,0.5,2821.05,8463.14,2821.05,2821.05,0.0,Adjusted
PAYOUT_000129,FR0007,P027,PROGRAM_P027,2026-03-01,274540.29,115198.87,41.96,5759.94,0.5,2879.97,8639.92,2879.97,2879.97,0.0,Adjusted
PAYOUT_000130,FR0007,P027,PROGRAM_P027,2026-04-01,145485.6,112952.48,77.64,5647.62,1.25,7059.53,8471.44,7059.53,7059.53,0.0,Pending
PAYOUT_000131,FR0007,P027,PROGRAM_P027,2026-05-01,214579.71,115496.76,53.82,5774.84,1.0,5774.84,8662.26,5774.84,5774.84,0.0,Paid
PAYOUT_000132,FR0007,P027,PROGRAM_P027,2026-06-01,294107.43,126988.39,43.18,6349.42,0.5,3174.71,9524.13,3174.71,3174.71,0.0,Adjusted
PAYOUT_000133,FR0007,P027,PROGRAM_P027,2026-07-01,165856.95,114431.59,68.99,5721.58,1.0,5721.58,8582.37,5721.58,5721.58,0.0,Adjusted
PAYOUT_000134,FR0007,P009,PROGRAM_P009,2026-01-01,126354.43,135576.75,107.3,6778.84,1.5,10168.26,10168.26,10168.26,10168.26,0.0,Adjusted
PAYOUT_000135,FR0007,P009,PROGRAM_P009,2026-02-01,127715.31,153631.66,120.29,7681.58,1.5,11522.37,11522.37,11522.37,11522.37,0.0,Adjusted
PAYOUT_000136,FR0007,P009,PROGRAM_P009,2026-03-01,236809.73,161488.46,68.19,8074.42,1.0,8074.42,12111.63,8074.42,8074.42,0.0,Pending
PAYOUT_000137,FR0007,P009,PROGRAM_P009,2026-04-01,272517.53,146711.63,53.84,7335.58,1.0,7335.58,11003.37,7335.58,7335.58,0.0,Paid
PAYOUT_000138,FR0007,P009,PROGRAM_P009,2026-05-01,237706.42,158566.89,66.71,7928.34,1.0,7928.34,11892.52,7928.34,7928.34,0.0,Adjusted
PAYOUT_000139,FR0007,P009,PROGRAM_P009,2026-06-01,281912.54,159562.97,56.6,7978.15,1.0,7978.15,11967.22,7978.15,7978.15,0.0,Paid
PAYOUT_000140,FR0007,P009,PROGRAM_P009,2026-07-01,299137.16,143311.88,47.91,7165.59,0.5,3582.8,10748.39,3582.8,3582.8,0.0,Pending
PAYOUT_000141,FR0008,P027,PROGRAM_P027,2026-01-01,231246.35,88404.93,38.23,4420.25,0.5,2210.12,6630.37,2210.12,2210.12,0.0,Adjusted
PAYOUT_000142,FR0008,P027,PROGRAM_P027,2026-02-01,283422.42,85048.26,30.01,4252.41,0.5,2126.21,6378.62,2126.21,2126.21,0.0,Paid
PAYOUT_000143,FR0008,P027,PROGRAM_P027,2026-03-01,113562.81,83489.92,73.52,4174.5,1.0,4174.5,6261.74,4174.5,4174.5,0.0,Adjusted
PAYOUT_000144,FR0008,P027,PROGRAM_P027,2026-04-01,289720.31,81308.6,28.06,4065.43,0.5,2032.72,6098.15,2032.72,2032.72,0.0,Pending
PAYOUT_000145,FR0008,P027,PROGRAM_P027,2026-05-01,136827.04,81451.73,59.53,4072.59,1.0,4072.59,6108.88,4072.59,4072.59,0.0,Pending
PAYOUT_000146,FR0008,P027,PROGRAM_P027,2026-06-01,245415.91,78800.77,32.11,3940.04,0.5,1970.02,5910.06,1970.02,1970.02,0.0,Paid
PAYOUT_000147,FR0008,P027,PROGRAM_P027,2026-07-01,276026.38,85829.64,31.09,4291.48,0.5,2145.74,6437.22,2145.74,2145.74,0.0,Paid
PAYOUT_000148,FR0008,P023,PROGRAM_P023,2026-01-01,292239.24,137926.17,47.2,6896.31,0.5,3448.15,17240.77,3448.15,3448.15,0.0,Paid
PAYOUT_000149,FR0008,P023,PROGRAM_P023,2026-02-01,188600.9,147811.08,78.37,7390.55,1.25,9238.19,18476.39,9238.19,9238.19,0.0,Adjusted
PAYOUT_000150,FR0008,P023,PROGRAM_P023,2026-03-01,286650.01,124967.71,43.6,6248.39,0.5,3124.19,15620.96,3124.19,3124.19,0.0,Paid
PAYOUT_000151,FR0008,P023,PROGRAM_P023,2026-04-01,130391.41,148060.36,113.55,7403.02,1.5,11104.53,18507.54,11104.53,11104.53,0.0,Pending
PAYOUT_000152,FR0008,P023,PROGRAM_P023,2026-05-01,121354.29,134980.99,111.23,6749.05,1.5,10123.57,16872.62,10123.57,10123.57,0.0,Pending
PAYOUT_000153,FR0008,P023,PROGRAM_P023,2026-06-01,105239.64,148756.68,141.35,7437.83,1.5,11156.75,18594.58,11156.75,11156.75,0.0,Adjusted
PAYOUT_000154,FR0008,P023,PROGRAM_P023,2026-07-01,223389.3,142104.31,63.61,7105.22,1.0,7105.22,17763.04,7105.22,7105.22,0.0,Adjusted
PAYOUT_000155,FR0008,P021,PROGRAM_P021,2026-01-01,213408.62,122216.3,57.27,6110.82,1.0,6110.82,9166.22,6110.82,6110.82,0.0,Pending
PAYOUT_000156,FR0008,P021,PROGRAM_P021,2026-02-01,219272.14,119377.93,54.44,5968.9,1.0,5968.9,8953.34,5968.9,5968.9,0.0,Pending
PAYOUT_000157,FR0008,P021,PROGRAM_P021,2026-03-01,237475.58,103214.63,43.46,5160.73,0.5,2580.37,7741.1,2580.37,2580.37,0.0,Paid
PAYOUT_000158,FR0008,P021,PROGRAM_P021,2026-04-01,115895.09,115657.44,99.79,5782.87,1.25,7228.59,8674.31,7228.59,7228.59,0.0,Paid
PAYOUT_000159,FR0008,P021,PROGRAM_P021,2026-05-01,126817.33,112091.06,88.39,5604.55,1.25,7005.69,8406.83,7005.69,7005.69,0.0,Adjusted
