sales number,representative_id,physician code,drug code,transaction date,sale amount,units,sales territory,status
29,FR0002,D000004,P026,2026-01-26,134129.37,529,T026,Adjusted
30,FR0002,D000004,P026,2026-02-25,133128.63,525,T026,Adjusted
31,FR0002,D000004,P026,2026-03-24,121765.26,480,T026,Adjusted
32,FR0002,D000004,P026,2026-04-21,132900.24,524,T026,Cancelled
33,FR0002,D000004,P026,2026-05-23,190005.36,749,T026,Cancelled
34,FR0002,D000004,P026,2026-06-25,262664.02,1035,T026,Adjusted
35,FR0002,D000004,P026,2026-07-16,118311.8,466,T026,Cancelled
36,FR0002,D000004,P018,2026-01-20,105705.93,259,T026,Valid
37,FR0002,D000004,P018,2026-02-06,89035.31,218,T026,Valid
38,FR0002,D000004,P018,2026-03-25,98280.37,241,T026,Adjusted
39,FR0002,D000004,P018,2026-04-21,104643.95,256,T026,Valid
40,FR0002,D000004,P018,2026-05-05,89120.23,218,T026,Adjusted
41,FR0002,D000004,P018,2026-06-20,93161.94,228,T026,Valid
42,FR0002,D000004,P018,2026-07-13,90786.53,222,T026,Cancelled
43,FR0005,D000009,P004,2026-01-22,158574.58,66,T009,Returned
44,FR0005,D000009,P004,2026-02-14,128227.02,54,T009,Returned
45,FR0005,D000009,P004,2026-03-15,141439.66,59,T009,Adjusted
46,FR0005,D000009,P004,2026-04-15,137902.96,58,T009,Cancelled
47,FR0005,D000009,P004,2026-05-06,148711.05,62,T009,Adjusted
48,FR0005,D000009,P004,2026-06-17,138466.49,58,T009,Cancelled
49,FR0005,D000009,P004,2026-07-15,143098.62,60,T009,Valid
50,FR0005,D000009,P023,2026-01-14,68452.28,28,T009,Returned
51,FR0005,D000009,P023,2026-02-04,64424.48,26,T009,Cancelled
52,FR0005,D000009,P023,2026-03-04,63983.17,26,T009,Cancelled
53,FR0005,D000009,P023,2026-04-02,64360.68,26,T009,Valid
54,FR0005,D000009,P023,2026-05-01,61782.42,25,T009,Returned
55,FR0005,D000009,P023,2026-06-27,62633.37,25,T009,Valid
56,FR0005,D000009,P023,2026-07-08,69153.88,28,T009,Valid
57,FR0005,D000009,P025,2026-01-19,114445.65,293,T009,Adjusted
58,FR0005,D000009,P025,2026-02-09,116605.29,299,T009,Valid
59,FR0005,D000009,P025,2026-03-10,103344.42,265,T009,Valid
60,FR0005,D000009,P025,2026-04-26,118921.17,305,T009,Cancelled
61,FR0005,D000009,P025,2026-05-02,117548.04,301,T009,Cancelled
62,FR0005,D000009,P025,2026-06-15,121929.06,312,T009,Returned
63,FR0005,D000009,P025,2026-07-14,113897.41,292,T009,Returned
64,FR0005,D000009,P010,2026-01-19,46953.55,34,T009,Valid
65,FR0005,D000009,P010,2026-02-21,44971.56,32,T009,Adjusted
66,FR0005,D000009,P010,2026-03-14,41954.12,30,T009,Adjusted
67,FR0005,D000009,P010,2026-04-11,46508.32,33,T009,Returned
68,FR0005,D000009,P010,2026-05-14,42626.13,31,T009,Valid
69,FR0005,D000009,P010,2026-06-09,45966.63,33,T009,Cancelled
70,FR0005,D000009,P010,2026-07-23,43389.85,31,T009,Cancelled
71,FR0006,D000010,P018,2026-01-23,74219.86,182,T033,Returned
72,FR0006,D000010,P018,2026-02-18,72564.91,178,T033,Cancelled
73,FR0006,D000010,P018,2026-03-25,67755.13,166,T033,Adjusted
74,FR0006,D000010,P018,2026-04-05,60305.46,148,T033,Adjusted
75,FR0006,D000010,P018,2026-05-07,68398.57,168,T033,Cancelled
76,FR0006,D000010,P018,2026-06-13,71693.07,176,T033,Cancelled
77,FR0006,D000010,P018,2026-07-04,74489.35,183,T033,Adjusted
78,FR0006,D000010,P014,2026-01-20,52512.05,78,T033,Adjusted
79,FR0006,D000010,P014,2026-02-21,62313.15,92,T033,Adjusted
80,FR0006,D000010,P014,2026-03-24,54528.23,81,T033,Valid
81,FR0006,D000010,P014,2026-04-01,60441.82,90,T033,Valid
82,FR0006,D000010,P014,2026-05-19,56293.92,83,T033,Cancelled
83,FR0006,D000010,P014,2026-06-15,62546.33,93,T047,Returned
84,FR0006,D000010,P014,2026-07-03,57433.63,85,T033,Adjusted
85,FR0006,D000010,P003,2026-01-04,75936.75,158,T033,Cancelled
86,FR0006,D000010,P003,2026-02-09,73249.04,153,T033,Valid
87,FR0006,D000010,P003,2026-03-25,84565.56,176,T033,Cancelled
88,FR0006,D000010,P003,2026-04-21,71483.42,149,T033,Valid
89,FR0006,D000010,P003,2026-05-12,74400.99,155,T033,Returned
90,FR0006,D000010,P003,2026-06-26,82079.06,171,T033,Valid
91,FR0006,D000010,P003,2026-07-03,84446.96,176,T033,Adjusted
92,FR0007,D000008,P004,2026-01-20,101757.97,43,T032,Cancelled
93,FR0007,D000008,P004,2026-02-05,110382.8,46,T032,Valid
94,FR0007,D000008,P004,2026-03-13,101946.37,43,T032,Adjusted
95,FR0007,D000008,P004,2026-04-14,116009.96,49,T032,Valid
96,FR0007,D000008,P004,2026-05-15,121887.99,51,T032,Adjusted
97,FR0007,D000008,P004,2026-06-13,115748.16,48,T032,Returned
98,FR0007,D000008,P004,2026-07-02,119104.61,50,T032,Returned
99,FR0007,D000008,P015,2026-01-25,137385.01,62,T032,Cancelled
100,FR0007,D000008,P015,2026-02-04,146382.04,66,T032,Valid
101,FR0007,D000008,P015,2026-03-09,144312.46,65,T032,Valid
102,FR0007,D000008,P015,2026-04-17,124354.95,56,T032,Valid
103,FR0007,D000008,P015,2026-05-15,139186.17,63,T032,Valid
104,FR0007,D000008,P015,2026-06-03,133601.2,61,T032,Returned
105,FR0007,D000008,P015,2026-07-04,129127.57,59,T027,Valid
106,FR0007,D000008,P012,2026-01-27,144542.23,985,T032,Adjusted
107,FR0007,D000008,P012,2026-02-05,140784.89,959,T032,Adjusted
108,FR0007,D000008,P012,2026-03-18,133772.97,912,T032,Valid
109,FR0007,D000008,P012,2026-04-10,152213.56,1037,T032,Returned
110,FR0007,D000008,P012,2026-05-12,137593.84,938,T032,Returned
111,FR0007,D000008,P012,2026-06-20,156600.3,1067,T032,Returned
112,FR0007,D000008,P012,2026-07-06,155167.6,1057,T032,Cancelled
113,FR0007,D000008,P022,2026-01-14,79878.87,44,T032,Adjusted
114,FR0007,D000008,P022,2026-02-02,93269.75,51,T032,Cancelled
115,FR0007,D000008,P022,2026-03-04,80865.82,45,T043,Returned
116,FR0007,D000008,P022,2026-04-08,92434.25,51,T032,Adjusted
117,FR0007,D000008,P022,2026-05-01,85126.43,47,T032,Adjusted
118,FR0007,D000008,P022,2026-06-03,86653.4,48,T032,Adjusted
119,FR0007,D000008,P022,2026-07-19,88195.07,49,T032,Adjusted
120,FR0007,D000008,P024,2026-01-03,161912.6,141,T043,Adjusted
121,FR0007,D000008,P024,2026-02-17,87714.74,76,T032,Cancelled
122,FR0007,D000008,P024,2026-03-04,100109.76,87,T032,Cancelled
123,FR0007,D000008,P024,2026-04-25,84141.92,73,T032,Adjusted
124,FR0007,D000008,P024,2026-05-21,90011.45,78,T032,Returned
125,FR0007,D000008,P024,2026-06-15,160123.67,139,T032,Adjusted
126,FR0007,D000008,P024,2026-07-15,86802.86,75,T032,Valid
127,FR0007,D000008,P027,2026-01-23,110322.12,73,T032,Valid
128,FR0007,D000008,P027,2026-02-12,112841.89,75,T032,Returned
129,FR0007,D000008,P027,2026-03-11,115198.87,76,T032,Valid
130,FR0007,D000008,P027,2026-04-11,112952.48,75,T032,Valid
131,FR0007,D000008,P027,2026-05-20,115496.76,76,T032,Valid
132,FR0007,D000008,P027,2026-06-21,126988.39,84,T032,Adjusted
133,FR0007,D000008,P027,2026-07-17,114431.59,76,T005,Valid
134,FR0007,D000008,P009,2026-01-24,135576.75,290,T032,Adjusted
135,FR0007,D000008,P009,2026-02-25,153631.66,329,T032,Adjusted
136,FR0007,D000008,P009,2026-03-22,161488.46,346,T032,Adjusted
137,FR0007,D000008,P009,2026-04-26,146711.63,314,T032,Cancelled
138,FR0007,D000008,P009,2026-05-10,158566.89,340,T032,Valid
139,FR0007,D000008,P009,2026-06-08,159562.97,342,T032,Adjusted
140,FR0007,D000008,P009,2026-07-12,143311.88,307,T032,Cancelled
141,FR0008,D000007,P027,2026-01-01,88404.93,58,T006,Returned
142,FR0008,D000007,P027,2026-02-08,85048.26,56,T006,Returned
143,FR0008,D000007,P027,2026-03-27,83489.92,55,T006,Adjusted
144,FR0008,D000007,P027,2026-04-08,81308.6,54,T006,Adjusted
145,FR0008,D000007,P027,2026-05-13,81451.73,54,T006,Adjusted
146,FR0008,D000007,P027,2026-06-12,78800.77,52,T006,Cancelled
147,FR0008,D000007,P027,2026-07-02,85829.64,57,T006,Returned
148,FR0008,D000007,P023,2026-01-03,137926.17,55,T006,Adjusted
149,FR0008,D000007,P023,2026-02-17,147811.08,59,T006,Adjusted
150,FR0008,D000007,P023,2026-03-25,124967.71,50,T006,Valid
151,FR0008,D000007,P023,2026-04-13,148060.36,60,T006,Returned
152,FR0008,D000007,P023,2026-05-24,134980.99,54,T006,Adjusted
153,FR0008,D000007,P023,2026-06-03,148756.68,60,T006,Returned
154,FR0008,D000007,P023,2026-07-15,142104.31,57,T006,Valid
155,FR0008,D000007,P021,2026-01-17,122216.3,51,T006,Cancelled
156,FR0008,D000007,P021,2026-02-08,119377.93,49,T006,Returned
157,FR0008,D000007,P021,2026-03-12,103214.63,43,T006,Adjusted
158,FR0008,D000007,P021,2026-04-04,115657.44,48,T006,Valid
159,FR0008,D000007,P021,2026-05-23,112091.06,46,T006,Adjusted
160,FR0008,D000007,P021,2026-06-03,125345.33,52,T006,Adjusted
161,FR0008,D000007,P021,2026-07-23,104601.54,43,T006,Valid
162,FR0014,D000001,P029,2026-01-08,122585.67,453,T011,Adjusted
163,FR0014,D000001,P029,2026-02-20,122789.93,454,T011,Valid
164,FR0014,D000001,P029,2026-03-27,132371.85,490,T011,Valid
165,FR0014,D000001,P029,2026-04-27,125021.81,462,T011,Cancelled
166,FR0014,D000001,P029,2026-05-10,137707.06,509,T011,Cancelled
167,FR0014,D000001,P029,2026-06-03,118840.65,440,T011,Returned
168,FR0014,D000001,P029,2026-07-17,120189.21,445,T011,Cancelled
169,FR0014,D000001,P010,2026-01-27,60441.56,43,T011,Valid
170,FR0014,D000001,P010,2026-02-20,62576.6,45,T011,Valid
171,FR0014,D000001,P010,2026-03-10,60914.8,44,T011,Adjusted
172,FR0014,D000001,P010,2026-04-23,58311.02,42,T011,Returned
173,FR0014,D000001,P010,2026-05-11,54336.04,39,T011,Cancelled
174,FR0014,D000001,P010,2026-06-20,55843.88,40,T011,Adjusted
175,FR0014,D000001,P010,2026-07-16,64671.04,46,T011,Adjusted
176,FR0014,D000001,P028,2026-01-02,99743.32,66,T011,Valid
177,FR0014,D000001,P028,2026-02-04,108200.17,72,T011,Adjusted
178,FR0014,D000001,P028,2026-03-19,106467.81,70,T011,Cancelled
179,FR0014,D000001,P028,2026-04-27,98188.84,65,T011,Valid
180,FR0014,D000001,P028,2026-05-07,107148.54,71,T011,Adjusted
181,FR0014,D000001,P028,2026-06-11,92721.28,61,T023,Cancelled
182,FR0014,D000001,P028,2026-07-23,96278.37,64,T011,Returned
183,FR0014,D000001,P006,2026-01-09,86595.52,66,T011,Cancelled
184,FR0014,D000001,P006,2026-02-05,78941.32,60,T011,Cancelled
185,FR0014,D000001,P006,2026-03-05,77818.42,59,T011,Adjusted
186,FR0014,D000001,P006,2026-04-17,90138.73,68,T011,Cancelled
187,FR0014,D000001,P006,2026-05-18,84644.3,64,T011,Returned
188,FR0014,D000001,P006,2026-06-07,91855.63,70,T011,Cancelled
189,FR0014,D000001,P006,2026-07-23,93223.33,71,T011,Adjusted
190,FR0014,D000001,P023,2026-01-13,78595.28,32,T011,Returned
191,FR0014,D000001,P023,2026-02-21,78850.51,32,T011,Returned
192,FR0014,D000001,P023,2026-03-05,88580.83,36,T011,Valid
193,FR0014,D000001,P023,2026-04-21,78037.03,31,T011,Cancelled
194,FR0014,D000001,P023,2026-05-18,86589.22,35,T011,Cancelled
195,FR0014,D000001,P023,2026-06-11,89489.32,36,T011,Returned
196,FR0014,D000001,P023,2026-07-06,75281.79,30,T011,Adjusted
197,FR0022,D000003,P027,2026-01-19,109761.48,73,T030,Valid
198,FR0022,D000003,P027,2026-02-09,103532.18,68,T030,Cancelled
199,FR0022,D000003,P027,2026-03-24,105496.99,70,T030,Returned
200,FR0022,D000003,P027,2026-04-17,106069.4,70,T030,Returned
201,FR0022,D000003,P027,2026-05-01,93544.13,62,T030,Returned
202,FR0022,D000003,P027,2026-06-09,95342.8,63,T030,Returned
203,FR0022,D000003,P027,2026-07-20,92088.0,61,T030,Cancelled
204,FR0022,D000003,P013,2026-01-25,95648.18,43,T030,Cancelled
205,FR0022,D000003,P013,2026-02-19,89397.63,40,T030,Valid
206,FR0022,D000003,P013,2026-03-17,91974.65,42,T030,Adjusted
207,FR0022,D000003,P013,2026-04-26,100137.0,45,T030,Valid
208,FR0022,D000003,P013,2026-05-24,97430.1,44,T030,Valid
209,FR0022,D000003,P013,2026-06-12,103621.76,47,T030,Valid
210,FR0022,D000003,P013,2026-07-14,89122.31,40,T030,Cancelled
211,FR0022,D000003,P026,2026-01-13,130907.39,516,T030,Adjusted
212,FR0022,D000003,P026,2026-02-06,144087.06,568,T030,Adjusted
213,FR0022,D000003,P026,2026-03-15,125171.38,493,T030,Adjusted
214,FR0022,D000003,P026,2026-04-24,125891.66,496,T030,Valid
215,FR0022,D000003,P026,2026-05-07,140938.62,556,T030,Valid
216,FR0022,D000003,P026,2026-06-08,136055.82,536,T030,Cancelled
217,FR0022,D000003,P026,2026-07-19,147538.14,582,T030,Returned
218,FR0024,D000005,P022,2026-01-02,83174.55,46,T017,Returned
219,FR0024,D000005,P022,2026-02-10,77230.06,43,T017,Adjusted
220,FR0024,D000005,P022,2026-03-02,82666.32,46,T017,Adjusted
221,FR0024,D000005,P022,2026-04-15,74953.61,41,T017,Returned
222,FR0024,D000005,P022,2026-05-03,71641.47,40,T017,Cancelled
223,FR0024,D000005,P022,2026-06-01,77805.47,43,T017,Cancelled
224,FR0024,D000005,P022,2026-07-13,85180.17,47,T017,Cancelled
225,FR0024,D000005,P017,2026-01-15,130272.31,63,T017,Valid
226,FR0024,D000005,P017,2026-02-14,144337.43,70,T017,Valid
227,FR0024,D000005,P017,2026-03-10,120230.31,58,T017,Cancelled
228,FR0024,D000005,P017,2026-04-09,136435.27,66,T017,Adjusted
229,FR0024,D000005,P017,2026-05-05,133245.61,65,T017,Adjusted
230,FR0024,D000005,P017,2026-06-25,147777.24,72,T017,Valid
231,FR0024,D000005,P017,2026-07-17,126530.38,61,T017,Adjusted
232,FR0024,D000005,P008,2026-01-01,114859.87,54,T017,Valid
233,FR0024,D000005,P008,2026-02-04,127271.54,60,T017,Valid
234,FR0024,D000005,P008,2026-03-26,118289.43,56,T017,Adjusted
235,FR0024,D000005,P008,2026-04-22,114252.03,54,T017,Valid
236,FR0024,D000005,P008,2026-05-02,105074.08,50,T017,Valid
237,FR0024,D000005,P008,2026-06-17,123953.16,58,T017,Valid
238,FR0024,D000005,P008,2026-07-03,120110.14,57,T017,Returned
239,FR0024,D000005,P014,2026-01-03,107485.63,159,T017,Returned
240,FR0024,D000005,P014,2026-02-13,128922.01,191,T017,Cancelled
241,FR0024,D000005,P014,2026-03-14,120183.59,178,T017,Cancelled
242,FR0024,D000005,P014,2026-04-01,127203.82,189,T017,Returned
243,FR0024,D000005,P014,2026-05-22,116388.83,173,T017,Adjusted
244,FR0024,D000005,P014,2026-06-13,113526.4,168,T017,Cancelled
245,FR0024,D000005,P014,2026-07-12,109864.67,163,T017,Returned
246,FR0026,D000006,P006,2026-01-13,98260.82,75,T001,Valid
247,FR0026,D000006,P006,2026-02-22,98145.2,74,T001,Adjusted
248,FR0026,D000006,P006,2026-03-09,102463.13,78,T001,Adjusted
249,FR0026,D000006,P006,2026-04-15,104642.41,79,T001,Valid
250,FR0026,D000006,P006,2026-05-23,105454.89,80,T023,Cancelled
251,FR0026,D000006,P006,2026-06-11,105514.77,80,T001,Adjusted
252,FR0026,D000006,P006,2026-07-22,118062.07,90,T001,Valid
253,FR0026,D000006,P014,2026-01-05,165850.95,246,T001,Returned
254,FR0026,D000006,P014,2026-02-20,161940.85,240,T001,Adjusted
255,FR0026,D000006,P014,2026-03-26,168958.05,250,T001,Returned
256,FR0026,D000006,P014,2026-04-06,168651.62,250,T001,Valid
257,FR0026,D000006,P014,2026-05-01,151306.23,224,T001,Valid
258,FR0026,D000006,P014,2026-06-15,155321.94,230,T001,Returned
259,FR0026,D000006,P014,2026-07-16,157673.56,234,T001,Valid
260,FR0026,D000006,P015,2026-01-26,159588.92,72,T001,Cancelled
261,FR0026,D000006,P015,2026-02-03,138650.7,63,T001,Returned
262,FR0026,D000006,P015,2026-03-17,163529.08,74,T001,Cancelled
263,FR0026,D000006,P015,2026-04-06,149533.01,68,T001,Adjusted
264,FR0026,D000006,P015,2026-05-01,164651.83,75,T001,Cancelled
265,FR0026,D000006,P015,2026-06-12,162190.08,73,T001,Returned
266,FR0026,D000006,P015,2026-07-20,157621.0,71,T001,Adjusted
267,FR0028,D000002,P012,2026-01-04,142491.98,971,T047,Cancelled
268,FR0028,D000002,P012,2026-02-19,144882.86,987,T047,Adjusted
269,FR0028,D000002,P012,2026-03-16,140157.02,955,T047,Returned
270,FR0028,D000002,P012,2026-04-16,137541.25,937,T047,Cancelled
271,FR0028,D000002,P012,2026-05-23,139189.75,949,T047,Adjusted
272,FR0028,D000002,P012,2026-06-09,124818.28,851,T047,Cancelled
273,FR0028,D000002,P012,2026-07-19,137732.65,939,T047,Valid
274,FR0028,D000002,P028,2026-01-14,126185.11,83,T047,Valid
275,FR0028,D000002,P028,2026-02-12,134004.99,89,T047,Valid
276,FR0028,D000002,P028,2026-03-23,132149.61,87,T047,Adjusted
277,FR0028,D000002,P028,2026-04-18,131223.61,87,T047,Returned
278,FR0028,D000002,P028,2026-05-17,154807.99,102,T047,Valid
279,FR0028,D000002,P028,2026-06-08,155219.78,103,T047,Cancelled
280,FR0028,D000002,P028,2026-07-19,148165.89,98,T047,Returned
281,FR0028,D000002,P015,2026-01-15,90900.24,41,T047,Adjusted
282,FR0028,D000002,P015,2026-02-16,194422.07,88,T047,Returned
283,FR0028,D000002,P015,2026-03-22,87328.6,40,T047,Valid
284,FR0028,D000002,P015,2026-04-15,92168.75,42,T047,Valid
285,FR0028,D000002,P015,2026-05-09,93528.66,42,T047,Valid
286,FR0028,D000002,P015,2026-06-13,83473.78,38,T047,Returned
287,FR0028,D000002,P015,2026-07-07,84547.18,38,T047,Adjusted
288,FR0028,D000002,P020,2026-01-23,100314.7,136,T047,Cancelled
289,FR0028,D000002,P020,2026-02-12,102303.6,139,T047,Returned
290,FR0028,D000002,P020,2026-03-17,118549.52,161,T047,Valid
291,FR0028,D000002,P020,2026-04-20,108712.05,148,T047,Adjusted
292,FR0028,D000002,P020,2026-05-14,103543.95,141,T047,Returned
293,FR0028,D000002,P020,2026-06-25,115893.27,157,T047,Valid
294,FR0028,D000002,P020,2026-07-21,114970.79,156,T047,Valid
295,FR0028,D000002,P006,2026-01-11,102434.17,78,T047,Cancelled
296,FR0028,D000002,P006,2026-02-01,101393.97,77,T047,Valid
297,FR0028,D000002,P006,2026-03-21,109620.1,83,T047,Adjusted
298,FR0028,D000002,P006,2026-04-03,103453.24,78,T047,Returned
299,FR0028,D000002,P006,2026-05-19,110751.27,84,T047,Valid
300,FR0028,D000002,P006,2026-06-14,110294.61,84,T047,Valid
301,FR0028,D000002,P006,2026-07-01,96210.51,73,T047,Cancelled
