target_id,representative_id,product_id,target_month,target_amount,status
TARGET_000092,FR0004,P019,2026-02-01,179455.68,Inactive
TARGET_000093,FR0004,P002,2026-03-01,132398.44,Inactive
TARGET_000094,FR0004,P006,2026-03-01,62195.81,Inactive
TARGET_000095,FR0004,P030,2026-03-01,126603.06,Inactive
TARGET_000096,FR0004,P019,2026-03-01,89891.56,Active
TARGET_000097,FR0004,P002,2026-04-01,176150.88,Active
TARGET_000098,FR0004,P006,2026-04-01,247880.72,Inactive
TARGET_000099,FR0004,P030,2026-04-01,145936.89,Inactive
TARGET_000100,FR0004,P019,2026-04-01,118806.82,Inactive
TARGET_000101,FR0004,P002,2026-05-01,127676.25,Active
TARGET_000102,FR0004,P006,2026-05-01,55212.59,Active
TARGET_000103,FR0004,P030,2026-05-01,55860.69,Inactive
TARGET_000104,FR0004,P019,2026-05-01,61718.25,Inactive
TARGET_000105,FR0004,P002,2026-06-01,155886.46,Active
TARGET_000106,FR0004,P006,2026-06-01,244795.97,Active
TARGET_000107,FR0004,P030,2026-06-01,99571.41,Active
TARGET_000108,FR0004,P019,2026-06-01,103305.4,Active
TARGET_000109,FR0004,P002,2026-07-01,202809.94,Active
TARGET_000110,FR0004,P006,2026-07-01,165138.42,Inactive
TARGET_000111,FR0004,P030,2026-07-01,120960.93,Active
TARGET_000112,FR0004,P019,2026-07-01,85220.07,Inactive
TARGET_000113,FR0005,P026,2026-01-01,232796.0,Active
TARGET_000114,FR0005,P024,2026-01-01,190690.58,Inactive
TARGET_000115,FR0005,P023,2026-01-01,239511.75,Active
TARGET_000116,FR0005,P012,2026-01-01,162621.78,Active
TARGET_000117,FR0005,P026,2026-02-01,217339.37,Inactive
TARGET_000118,FR0005,P024,2026-02-01,158424.92,Active
TARGET_000119,FR0005,P023,2026-02-01,148087.28,Active
TARGET_000120,FR0005,P012,2026-02-01,61233.6,Active
TARGET_000121,FR0005,P026,2026-03-01,53985.6,Inactive
TARGET_000122,FR0005,P024,2026-03-01,50136.7,Active
TARGET_000123,FR0005,P023,2026-03-01,211289.08,Inactive
TARGET_000124,FR0005,P012,2026-03-01,193387.53,Inactive
TARGET_000125,FR0005,P026,2026-04-01,61911.19,Active
TARGET_000126,FR0005,P024,2026-04-01,167321.84,Active
TARGET_000127,FR0005,P023,2026-04-01,204873.3,Inactive
TARGET_000128,FR0005,P012,2026-04-01,242111.75,Inactive
TARGET_000129,FR0005,P026,2026-05-01,190907.6,Inactive
TARGET_000130,FR0005,P024,2026-05-01,167203.33,Inactive
TARGET_000131,FR0005,P023,2026-05-01,110353.03,Active
TARGET_000132,FR0005,P012,2026-05-01,245172.13,Inactive
TARGET_000133,FR0005,P026,2026-06-01,208368.5,Inactive
TARGET_000134,FR0005,P024,2026-06-01,179836.05,Active
TARGET_000135,FR0005,P023,2026-06-01,191436.58,Inactive
TARGET_000136,FR0005,P012,2026-06-01,94647.44,Active
TARGET_000137,FR0005,P026,2026-07-01,125676.82,Inactive
TARGET_000138,FR0005,P024,2026-07-01,75469.67,Active
TARGET_000139,FR0005,P023,2026-07-01,239757.62,Inactive
TARGET_000140,FR0005,P012,2026-07-01,220151.39,Active
TARGET_000141,FR0006,P006,2026-01-01,211761.39,Active
TARGET_000142,FR0006,P020,2026-01-01,177929.35,Active
TARGET_000143,FR0006,P011,2026-01-01,237337.56,Active
TARGET_000144,FR0006,P030,2026-01-01,116233.69,Active
TARGET_000145,FR0006,P006,2026-02-01,97599.19,Inactive
TARGET_000146,FR0006,P020,2026-02-01,83577.48,Active
TARGET_000147,FR0006,P011,2026-02-01,214332.36,Inactive
TARGET_000148,FR0006,P030,2026-02-01,139325.99,Inactive
TARGET_000149,FR0006,P006,2026-03-01,91936.86,Active
TARGET_000150,FR0006,P020,2026-03-01,120096.23,Active
TARGET_000151,FR0006,P011,2026-03-01,194082.72,Active
TARGET_000152,FR0006,P030,2026-03-01,127187.42,Inactive
TARGET_000153,FR0006,P006,2026-04-01,243820.37,Inactive
TARGET_000154,FR0006,P020,2026-04-01,148616.4,Inactive
TARGET_000155,FR0006,P011,2026-04-01,120246.23,Inactive
TARGET_000156,FR0006,P030,2026-04-01,70285.71,Inactive
TARGET_000157,FR0006,P006,2026-05-01,207746.0,Active
TARGET_000158,FR0006,P020,2026-05-01,82531.3,Active
TARGET_000159,FR0006,P011,2026-05-01,209838.91,Active
TARGET_000160,FR0006,P030,2026-05-01,108981.72,Inactive
TARGET_000161,FR0006,P006,2026-06-01,102225.54,Active
TARGET_000162,FR0006,P020,2026-06-01,64840.08,Active
TARGET_000163,FR0006,P011,2026-06-01,227586.25,Active
TARGET_000164,FR0006,P030,2026-06-01,196397.02,Active
TARGET_000165,FR0006,P006,2026-07-01,117590.12,Inactive
TARGET_000166,FR0006,P020,2026-07-01,190900.93,Inactive
TARGET_000167,FR0006,P011,2026-07-01,238488.45,Active
TARGET_000168,FR0006,P030,2026-07-01,171463.53,Inactive
TARGET_000169,FR0007,P006,2026-01-01,91110.1,Active
TARGET_000170,FR0007,P002,2026-01-01,131855.97,Inactive
TARGET_000171,FR0007,P004,2026-01-01,182119.58,Inactive
TARGET_000172,FR0007,P011,2026-01-01,97509.66,Active
TARGET_000173,FR0007,P006,2026-02-01,128580.44,Inactive
TARGET_000174,FR0007,P002,2026-02-01,80717.99,Inactive
TARGET_000175,FR0007,P004,2026-02-01,50763.11,Active
TARGET_000176,FR0007,P011,2026-02-01,108909.89,Inactive
TARGET_000177,FR0007,P006,2026-03-01,89934.96,Active
TARGET_000178,FR0007,P002,2026-03-01,91390.6,Inactive
TARGET_000179,FR0007,P004,2026-03-01,245411.54,Inactive
TARGET_000180,FR0007,P011,2026-03-01,218753.81,Inactive
TARGET_000181,FR0007,P006,2026-04-01,206975.31,Inactive
TARGET_000182,FR0007,P002,2026-04-01,147819.36,Inactive
TARGET_000183,FR0007,P004,2026-04-01,68227.38,Inactive
TARGET_000184,FR0007,P011,2026-04-01,86976.24,Inactive
TARGET_000185,FR0007,P006,2026-05-01,123880.33,Inactive
TARGET_000186,FR0007,P002,2026-05-01,58923.38,Inactive
TARGET_000187,FR0007,P004,2026-05-01,143011.59,Active
TARGET_000188,FR0007,P011,2026-05-01,217415.75,Active
TARGET_000189,FR0007,P006,2026-06-01,80226.13,Active
TARGET_000190,FR0007,P002,2026-06-01,67141.46,Inactive
TARGET_000191,FR0007,P004,2026-06-01,211636.03,Inactive
TARGET_000192,FR0007,P011,2026-06-01,244141.11,Active
TARGET_000193,FR0007,P006,2026-07-01,160720.38,Inactive
TARGET_000194,FR0007,P002,2026-07-01,213681.04,Inactive
TARGET_000195,FR0007,P004,2026-07-01,243125.54,Inactive
TARGET_000196,FR0007,P011,2026-07-01,164542.86,Active
TARGET_000197,FR0008,P016,2026-01-01,230555.44,Active
TARGET_000198,FR0008,P010,2026-01-01,150420.29,Active
TARGET_000199,FR0008,P003,2026-01-01,74056.37,Inactive
TARGET_000200,FR0008,P013,2026-01-01,84575.79,Active
TARGET_000201,FR0008,P016,2026-02-01,244432.98,Active
TARGET_000202,FR0008,P010,2026-02-01,75237.2,Inactive
TARGET_000203,FR0008,P003,2026-02-01,65673.7,Inactive
TARGET_000204,FR0008,P013,2026-02-01,90383.86,Active
TARGET_000205,FR0008,P016,2026-03-01,216821.62,Inactive
TARGET_000206,FR0008,P010,2026-03-01,113949.9,Active
TARGET_000207,FR0008,P003,2026-03-01,67405.49,Inactive
TARGET_000208,FR0008,P013,2026-03-01,160410.84,Inactive
TARGET_000209,FR0008,P016,2026-04-01,153937.64,Active
TARGET_000210,FR0008,P010,2026-04-01,207310.13,Inactive
TARGET_000211,FR0008,P003,2026-04-01,72503.77,Active
TARGET_000212,FR0008,P013,2026-04-01,79639.95,Active
TARGET_000213,FR0008,P016,2026-05-01,234985.63,Active
TARGET_000214,FR0008,P010,2026-05-01,207149.13,Inactive
TARGET_000215,FR0008,P003,2026-05-01,225578.71,Inactive
TARGET_000216,FR0008,P013,2026-05-01,126608.69,Inactive
TARGET_000217,FR0008,P016,2026-06-01,164404.65,Inactive
TARGET_000218,FR0008,P010,2026-06-01,57493.13,Inactive
TARGET_000219,FR0008,P003,2026-06-01,130594.79,Inactive
TARGET_000220,FR0008,P013,2026-06-01,57756.51,Inactive
TARGET_000221,FR0008,P016,2026-07-01,188102.75,Active
TARGET_000222,FR0008,P010,2026-07-01,199149.96,Inactive
TARGET_000223,FR0008,P003,2026-07-01,229406.27,Active
TARGET_000224,FR0008,P013,2026-07-01,117573.22,Inactive
TARGET_000225,FR0009,P010,2026-01-01,221646.96,Active
TARGET_000226,FR0009,P009,2026-01-01,244499.33,Active
TARGET_000227,FR0009,P027,2026-01-01,76877.1,Inactive
TARGET_000228,FR0009,P016,2026-01-01,204806.18,Inactive
TARGET_000229,FR0009,P010,2026-02-01,103884.0,Inactive
TARGET_000230,FR0009,P009,2026-02-01,170995.83,Active
TARGET_000231,FR0009,P027,2026-02-01,87587.14,Active
TARGET_000232,FR0009,P016,2026-02-01,232686.56,Inactive
TARGET_000233,FR0009,P010,2026-03-01,198188.96,Inactive
TARGET_000234,FR0009,P009,2026-03-01,214203.48,Active
TARGET_000235,FR0009,P027,2026-03-01,63123.39,Inactive
TARGET_000236,FR0009,P016,2026-03-01,77129.96,Active
TARGET_000237,FR0009,P010,2026-04-01,84747.47,Active
TARGET_000238,FR0009,P009,2026-04-01,217395.34,Active
TARGET_000239,FR0009,P027,2026-04-01,56614.21,Active
TARGET_000240,FR0009,P016,2026-04-01,233606.21,Active
TARGET_000241,FR0009,P010,2026-05-01,104795.5,Inactive
TARGET_000242,FR0009,P009,2026-05-01,151025.27,Active
TARGET_000243,FR0009,P027,2026-05-01,186234.87,Active
TARGET_000244,FR0009,P016,2026-05-01,124493.35,Inactive
TARGET_000245,FR0009,P010,2026-06-01,85516.74,Inactive
TARGET_000246,FR0009,P009,2026-06-01,167376.05,Inactive
TARGET_000247,FR0009,P027,2026-06-01,118849.8,Inactive
TARGET_000248,FR0009,P016,2026-06-01,199792.23,Active
TARGET_000249,FR0009,P010,2026-07-01,107013.88,Inactive
TARGET_000250,FR0009,P009,2026-07-01,59930.21,Active
TARGET_000251,FR0009,P027,2026-07-01,221422.24,Active
TARGET_000252,FR0009,P016,2026-07-01,185539.05,Inactive
TARGET_000253,FR0010,P021,2026-01-01,222925.99,Active
TARGET_000254,FR0010,P014,2026-01-01,144819.44,Active
TARGET_000255,FR0010,P017,2026-01-01,179474.31,Active
TARGET_000256,FR0010,P001,2026-01-01,94754.01,Inactive
TARGET_000257,FR0010,P021,2026-02-01,192548.1,Inactive
TARGET_000258,FR0010,P014,2026-02-01,134761.36,Inactive
TARGET_000259,FR0010,P017,2026-02-01,220317.23,Inactive
TARGET_000260,FR0010,P001,2026-02-01,100399.74,Inactive
TARGET_000261,FR0010,P021,2026-03-01,110429.02,Inactive
TARGET_000262,FR0010,P014,2026-03-01,166897.43,Active
TARGET_000263,FR0010,P017,2026-03-01,152302.74,Inactive
TARGET_000264,FR0010,P001,2026-03-01,162291.42,Inactive
TARGET_000265,FR0010,P021,2026-04-01,109695.19,Active
TARGET_000266,FR0010,P014,2026-04-01,146347.68,Inactive
TARGET_000267,FR0010,P017,2026-04-01,247672.19,Inactive
TARGET_000268,FR0010,P001,2026-04-01,222298.32,Inactive
TARGET_000269,FR0010,P021,2026-05-01,181223.92,Inactive
TARGET_000270,FR0010,P014,2026-05-01,87672.02,Active
TARGET_000271,FR0010,P017,2026-05-01,229937.41,Inactive
TARGET_000272,FR0010,P001,2026-05-01,182106.06,Active
TARGET_000273,FR0010,P021,2026-06-01,194256.64,Inactive
TARGET_000274,FR0010,P014,2026-06-01,249493.82,Inactive
TARGET_000275,FR0010,P017,2026-06-01,231382.31,Inactive
TARGET_000276,FR0010,P001,2026-06-01,127654.98,Active
TARGET_000277,FR0010,P021,2026-07-01,166604.74,Active
TARGET_000278,FR0010,P014,2026-07-01,118633.41,Active
TARGET_000279,FR0010,P017,2026-07-01,187263.62,Inactive
TARGET_000280,FR0010,P001,2026-07-01,231305.3,Inactive
TARGET_000281,FR0011,P017,2026-01-01,218127.74,Active
TARGET_000282,FR0011,P010,2026-01-01,108756.81,Inactive
TARGET_000283,FR0011,P028,2026-01-01,75588.83,Inactive
TARGET_000284,FR0011,P006,2026-01-01,195037.33,Active
TARGET_000285,FR0011,P017,2026-02-01,239384.68,Inactive
TARGET_000286,FR0011,P010,2026-02-01,180886.93,Active
TARGET_000287,FR0011,P028,2026-02-01,121056.68,Inactive
TARGET_000288,FR0011,P006,2026-02-01,134094.51,Inactive
TARGET_000289,FR0011,P017,2026-03-01,124336.49,Inactive
TARGET_000290,FR0011,P010,2026-03-01,142752.13,Active
TARGET_000291,FR0011,P028,2026-03-01,144107.31,Active
TARGET_000292,FR0011,P006,2026-03-01,144443.94,Active
TARGET_000293,FR0011,P017,2026-04-01,150095.47,Inactive
TARGET_000294,FR0011,P010,2026-04-01,155967.7,Inactive
TARGET_000295,FR0011,P028,2026-04-01,60812.39,Active
TARGET_000296,FR0011,P006,2026-04-01,77473.05,Active
TARGET_000297,FR0011,P017,2026-05-01,118533.98,Inactive
TARGET_000298,FR0011,P010,2026-05-01,78644.83,Active
TARGET_000299,FR0011,P028,2026-05-01,205788.24,Inactive
TARGET_000300,FR0011,P006,2026-05-01,116525.89,Active
TARGET_000301,FR0011,P017,2026-06-01,112682.81,Active
TARGET_000302,FR0011,P010,2026-06-01,50942.7,Inactive
TARGET_000303,FR0011,P028,2026-06-01,91876.47,Active
TARGET_000304,FR0011,P006,2026-06-01,165255.78,Active
TARGET_000305,FR0011,P017,2026-07-01,147915.42,Active
TARGET_000306,FR0011,P010,2026-07-01,75881.19,Inactive
TARGET_000307,FR0011,P028,2026-07-01,176697.51,Inactive
TARGET_000308,FR0011,P006,2026-07-01,135805.09,Inactive
TARGET_000309,FR0012,P013,2026-01-01,89882.85,Inactive
TARGET_000310,FR0012,P001,2026-01-01,240013.72,Inactive
TARGET_000311,FR0012,P002,2026-01-01,201369.55,Active
TARGET_000312,FR0012,P018,2026-01-01,53583.23,Active
TARGET_000313,FR0012,P013,2026-02-01,175337.39,Active
TARGET_000314,FR0012,P001,2026-02-01,95253.14,Inactive
TARGET_000315,FR0012,P002,2026-02-01,112418.45,Active
TARGET_000316,FR0012,P018,2026-02-01,126710.1,Inactive
TARGET_000317,FR0012,P013,2026-03-01,83404.04,Active
TARGET_000318,FR0012,P001,2026-03-01,109640.45,Inactive
TARGET_000319,FR0012,P002,2026-03-01,141185.26,Inactive
TARGET_000320,FR0012,P018,2026-03-01,136733.05,Active
TARGET_000321,FR0012,P013,2026-04-01,118546.57,Inactive
TARGET_000322,FR0012,P001,2026-04-01,121850.18,Active
TARGET_000323,FR0012,P002,2026-04-01,82976.7,Inactive
TARGET_000324,FR0012,P018,2026-04-01,53824.95,Active
TARGET_000325,FR0012,P013,2026-05-01,195433.77,Active
TARGET_000326,FR0012,P001,2026-05-01,92238.05,Active
TARGET_000327,FR0012,P002,2026-05-01,167938.57,Active
TARGET_000328,FR0012,P018,2026-05-01,74632.4,Active
TARGET_000329,FR0012,P013,2026-06-01,125038.49,Inactive
TARGET_000330,FR0012,P001,2026-06-01,204249.93,Active
TARGET_000331,FR0012,P002,2026-06-01,168784.81,Active
TARGET_000332,FR0012,P018,2026-06-01,182393.98,Active
TARGET_000333,FR0012,P013,2026-07-01,59647.01,Active
TARGET_000334,FR0012,P001,2026-07-01,133355.11,Inactive
TARGET_000335,FR0012,P002,2026-07-01,74719.01,Inactive
TARGET_000336,FR0012,P018,2026-07-01,144879.27,Active
TARGET_000337,FR0013,P007,2026-01-01,51860.91,Inactive
TARGET_000338,FR0013,P023,2026-01-01,182332.92,Inactive
TARGET_000339,FR0013,P022,2026-01-01,174559.56,Active
TARGET_000340,FR0013,P021,2026-01-01,133765.15,Active
TARGET_000341,FR0013,P007,2026-02-01,152316.96,Active
TARGET_000342,FR0013,P023,2026-02-01,106541.35,Active
TARGET_000343,FR0013,P022,2026-02-01,149547.81,Active
TARGET_000344,FR0013,P021,2026-02-01,205591.78,Active
TARGET_000345,FR0013,P007,2026-03-01,121584.37,Inactive
TARGET_000346,FR0013,P023,2026-03-01,109070.24,Active
TARGET_000347,FR0013,P022,2026-03-01,159627.75,Active
TARGET_000348,FR0013,P021,2026-03-01,187640.78,Inactive
TARGET_000349,FR0013,P007,2026-04-01,116120.72,Active
TARGET_000350,FR0013,P023,2026-04-01,52549.88,Active
TARGET_000351,FR0013,P022,2026-04-01,231376.01,Inactive
TARGET_000352,FR0013,P021,2026-04-01,79828.9,Active
TARGET_000353,FR0013,P007,2026-05-01,205905.24,Active
TARGET_000354,FR0013,P023,2026-05-01,194712.72,Active
TARGET_000355,FR0013,P022,2026-05-01,230955.88,Active
TARGET_000356,FR0013,P021,2026-05-01,141350.25,Inactive
TARGET_000357,FR0013,P007,2026-06-01,102825.0,Active
TARGET_000358,FR0013,P023,2026-06-01,69961.78,Active
TARGET_000359,FR0013,P022,2026-06-01,224828.09,Inactive
TARGET_000360,FR0013,P021,2026-06-01,122042.93,Inactive
TARGET_000361,FR0013,P007,2026-07-01,135199.04,Active
TARGET_000362,FR0013,P023,2026-07-01,68999.69,Active
TARGET_000363,FR0013,P022,2026-07-01,51934.47,Active
TARGET_000364,FR0013,P021,2026-07-01,182671.01,Active
TARGET_000365,FR0014,P011,2026-01-01,241017.83,Inactive
TARGET_000366,FR0014,P012,2026-01-01,225695.11,Active
TARGET_000367,FR0014,P029,2026-01-01,124524.43,Inactive
TARGET_000368,FR0014,P015,2026-01-01,86573.88,Inactive
TARGET_000369,FR0014,P011,2026-02-01,130050.05,Inactive
TARGET_000370,FR0014,P012,2026-02-01,104366.62,Inactive
TARGET_000371,FR0014,P029,2026-02-01,187980.49,Inactive
TARGET_000372,FR0014,P015,2026-02-01,209979.82,Active
TARGET_000373,FR0014,P011,2026-03-01,72611.31,Active
TARGET_000374,FR0014,P012,2026-03-01,246313.83,Active
TARGET_000375,FR0014,P029,2026-03-01,70742.62,Inactive
TARGET_000376,FR0014,P015,2026-03-01,210452.96,Inactive
TARGET_000377,FR0014,P011,2026-04-01,86252.11,Inactive
TARGET_000378,FR0014,P012,2026-04-01,205832.86,Active
TARGET_000379,FR0014,P029,2026-04-01,222515.15,Active
TARGET_000380,FR0014,P015,2026-04-01,146615.93,Inactive
TARGET_000381,FR0014,P011,2026-05-01,72587.5,Inactive
TARGET_000382,FR0014,P012,2026-05-01,138137.58,Active
TARGET_000383,FR0014,P029,2026-05-01,102322.57,Inactive
TARGET_000384,FR0014,P015,2026-05-01,52472.04,Active
TARGET_000385,FR0014,P011,2026-06-01,245579.11,Inactive
TARGET_000386,FR0014,P012,2026-06-01,153819.94,Active
TARGET_000387,FR0014,P029,2026-06-01,136569.58,Active
TARGET_000388,FR0014,P015,2026-06-01,146385.94,Inactive
TARGET_000389,FR0014,P011,2026-07-01,79730.89,Active
TARGET_000390,FR0014,P012,2026-07-01,52328.97,Active
TARGET_000391,FR0014,P029,2026-07-01,151113.51,Inactive
TARGET_000392,FR0014,P015,2026-07-01,220374.23,Active
TARGET_000393,FR0015,P003,2026-01-01,98178.36,Inactive
TARGET_000394,FR0015,P025,2026-01-01,60070.14,Active
TARGET_000395,FR0015,P016,2026-01-01,160099.11,Inactive
TARGET_000396,FR0015,P011,2026-01-01,130655.4,Active
TARGET_000397,FR0015,P003,2026-02-01,65766.12,Inactive
TARGET_000398,FR0015,P025,2026-02-01,210252.26,Inactive
TARGET_000399,FR0015,P016,2026-02-01,67603.97,Inactive
TARGET_000400,FR0015,P011,2026-02-01,139413.62,Active
TARGET_000401,FR0015,P003,2026-03-01,246134.15,Active
TARGET_000402,FR0015,P025,2026-03-01,70528.66,Inactive
TARGET_000403,FR0015,P016,2026-03-01,57166.39,Active
TARGET_000404,FR0015,P011,2026-03-01,215181.75,Inactive
TARGET_000405,FR0015,P003,2026-04-01,228022.18,Active
TARGET_000406,FR0015,P025,2026-04-01,180919.2,Inactive
TARGET_000407,FR0015,P016,2026-04-01,240071.03,Inactive
TARGET_000408,FR0015,P011,2026-04-01,215062.2,Active
TARGET_000409,FR0015,P003,2026-05-01,218863.49,Inactive
TARGET_000410,FR0015,P025,2026-05-01,162030.17,Inactive
TARGET_000411,FR0015,P016,2026-05-01,193331.61,Inactive
TARGET_000412,FR0015,P011,2026-05-01,193182.7,Active
TARGET_000413,FR0015,P003,2026-06-01,69487.4,Active
TARGET_000414,FR0015,P025,2026-06-01,50439.39,Inactive
TARGET_000415,FR0015,P016,2026-06-01,215976.78,Inactive
TARGET_000416,FR0015,P011,2026-06-01,159538.12,Inactive
TARGET_000417,FR0015,P003,2026-07-01,190419.21,Active
TARGET_000418,FR0015,P025,2026-07-01,229375.42,Inactive
TARGET_000419,FR0015,P016,2026-07-01,78089.84,Inactive
TARGET_000420,FR0015,P011,2026-07-01,71392.3,Active
TARGET_000421,FR0016,P007,2026-01-01,128579.3,Inactive
TARGET_000422,FR0016,P004,2026-01-01,214910.83,Active
TARGET_000423,FR0016,P030,2026-01-01,193357.58,Active
TARGET_000424,FR0016,P028,2026-01-01,201429.87,Active
TARGET_000425,FR0016,P007,2026-02-01,235325.31,Active
TARGET_000426,FR0016,P004,2026-02-01,204429.03,Inactive
TARGET_000427,FR0016,P030,2026-02-01,141477.58,Active
TARGET_000428,FR0016,P028,2026-02-01,242770.95,Active
TARGET_000429,FR0016,P007,2026-03-01,156072.87,Active
TARGET_000430,FR0016,P004,2026-03-01,160645.27,Inactive
TARGET_000431,FR0016,P030,2026-03-01,217763.22,Inactive
TARGET_000432,FR0016,P028,2026-03-01,234874.17,Active
TARGET_000433,FR0016,P007,2026-04-01,188363.54,Active
TARGET_000434,FR0016,P004,2026-04-01,196098.93,Active
TARGET_000435,FR0016,P030,2026-04-01,70710.79,Inactive
TARGET_000436,FR0016,P028,2026-04-01,150822.02,Inactive
