transaction number,sales date,physician id,product id,territory id,qty,sales value,sale status
S0003726,2026-05-16,D000258,P029,T013,11,21484.07,Valid
S0003138,2026-06-06,D000122,P019,T021,32,50957.16,Valid
S0000972,2026-04-23,D000268,P027,T022,37,48028.48,Valid
S0002929,2026-07-25,D000022,P008,T044,19,34856.58,Valid
S0000266,2026-02-15,D000295,P030,T043,43,36772.83,Valid
S0002050,2026-07-19,D000260,P024,T006,23,33081.17,Valid
S0004281,2026-07-23,D000262,P003,T048,8,19014.55,Valid
S0000143,2026-01-13,D000052,P022,T043,33,9337.91,Valid
S0002809,2026-03-12,D000286,P015,T026,47,35027.92,Valid
S0000006,2026-01-01,D000277,P004,T023,43,14478.72,Valid
S0001676,2026-01-16,D000067,P026,T016,188,26035.21,Valid
S0000749,2026-07-23,D000057,P010,T003,24,37663.37,Valid
S0003393,2026-03-18,D000127,P022,T006,44,12501.88,Valid
S0004029,2026-06-03,D000135,P004,T046,52,17627.55,Valid
S0001990,2026-02-04,D000264,P004,T031,179,60675.32,Valid
S0001606,2026-07-26,D000102,P027,T027,19,24476.07,Valid
S0000701,2026-06-11,D000300,P004,T006,44,14759.77,Valid
S0001185,2026-03-06,D000289,P019,T049,20,31550.36,Valid
S0000116,2026-02-21,D000277,P009,T023,11,14761.71,Valid
S0001252,2026-05-01,D000025,P010,T049,16,24395.03,Valid
S0001096,2026-01-14,D000025,P011,T049,22,23179.8,Valid
S0001086,2026-05-18,D000046,P008,T003,14,25338.53,Valid
S0002836,2026-02-16,D000252,P003,T044,16,35505.7,Valid
S0003388,2026-02-16,D000202,P022,T006,65,18305.7,Adjusted
S0004102,2026-04-27,D000021,P019,T029,15,23628.94,Valid
S0003386,2026-02-07,D000171,P022,T006,65,18305.7,Valid
S0002519,2026-07-20,D000237,P029,T039,13,25852.61,Valid
S0000537,2026-02-03,D000291,P013,T031,27,50303.78,Valid
S0000478,2026-05-23,D000058,P012,T049,11,14547.43,Valid
S0000593,2026-05-25,D000290,P021,T031,20,12915.16,Valid
S0000796,2026-04-07,D000049,P015,T042,15,11409.46,Valid
S0004068,2026-01-27,D000037,P007,T046,21,11091.5,Valid
S0003436,2026-06-22,D000171,P012,T006,14,19033.73,Valid
S0002767,2026-01-18,D000177,P025,T026,10,25178.31,Valid
S0000212,2026-03-14,D000091,P019,T043,14,22706.46,Valid
S0000488,2026-01-05,D000039,P022,T049,120,33995.79,Valid
S0003978,2026-07-27,D000037,P027,T046,46,59838.06,Valid
S0000487,2026-07-12,D000255,P012,T049,5,6911.85,Valid
S0003800,2026-06-20,D000247,P022,T013,117,33206.69,Valid
S0002604,2026-04-17,D000003,P009,T031,11,15067.9,Valid
S0001239,2026-02-03,D000253,P010,T049,16,25150.07,Valid
S0003394,2026-04-27,D000236,P022,T006,89,25317.08,Valid
S0003619,2026-04-08,D000207,P027,T049,17,22577.56,Valid
S0002912,2026-03-06,D000008,P008,T044,18,33052.75,Valid
S0001149,2026-07-24,D000025,P022,T049,241,68287.77,Valid
S0003673,2026-05-04,D000153,P007,T013,46,24262.32,Valid
S0003940,2026-03-02,D000140,P002,T002,11,20797.86,Valid
S0002089,2026-04-06,D000147,P003,T006,6,13669.56,Valid
S0003825,2026-01-11,D000005,P030,T025,74,63632.83,Valid
S0001370,2026-06-27,D000024,P021,T032,88,56002.56,Valid
S0002360,2026-07-07,D000167,P003,T039,24,53920.16,Valid
S0002383,2026-07-21,D000194,P030,T039,35,30546.57,Valid
S0002978,2026-07-05,D000066,P030,T021,32,27579.89,Returned
S0001206,2026-07-23,D000289,P019,T049,8,12770.81,Valid
S0002284,2026-06-22,D000259,P002,T039,8,15293.96,Valid
S0001274,2026-04-18,D000025,P013,T049,12,21941.4,Valid
S0004320,2026-02-01,D000214,P026,T048,180,24932.48,Valid
S0003735,2026-07-08,D000187,P029,T013,10,18877.05,Valid
S0003594,2026-04-01,D000189,P014,T005,8,17192.21,Valid
S0000967,2026-03-19,D000251,P027,T022,27,34803.85,Valid
S0002907,2026-01-17,D000254,P008,T044,14,26684.25,Valid
S0001895,2026-05-14,D000264,P012,T031,16,20909.82,Valid
S0001943,2026-05-20,D000249,P029,T031,7,12572.11,Valid
S0003968,2026-04-17,D000135,P027,T046,45,58407.77,Valid
S0000094,2026-04-19,D000056,P030,T023,48,41121.56,Valid
S0002750,2026-04-05,D000093,P012,T026,25,33772.76,Valid
S0004369,2026-05-17,D000226,P027,T048,13,17420.18,Valid
S0003098,2026-07-24,D000100,P018,T021,38,59043.81,Valid
S0001550,2026-05-20,D000047,P016,T006,5,8966.03,Valid
S0001829,2026-03-10,D000089,P017,T016,49,69320.28,Valid
S0001082,2026-05-05,D000183,P008,T003,14,25338.53,Valid
S0002961,2026-03-18,D000213,P030,T021,39,33615.61,Valid
S0003909,2026-01-26,D000140,P016,T002,15,28143.87,Valid
S0002222,2026-03-05,D000002,P002,T020,5,10034.12,Valid
S0003212,2026-02-24,D000256,P018,T033,8,11678.45,Valid
S0001957,2026-01-25,D000249,P016,T031,20,37183.86,Valid
S0001966,2026-03-11,D000175,P016,T031,11,20735.61,Valid
S0000507,2026-06-05,D000039,P022,T049,103,29180.94,Valid
S0002333,2026-06-07,D000194,P019,T039,8,12274.96,Valid
S0002073,2026-01-24,D000147,P003,T006,6,14083.48,Valid
S0003166,2026-05-02,D000191,P030,T033,29,25053.85,Valid
S0001456,2026-07-07,D000205,P010,T032,20,31707.31,Valid
S0001041,2026-02-02,D000134,P027,T003,12,15492.29,Valid
S0001612,2026-02-18,D000139,P002,T027,25,46581.15,Valid
S0003659,2026-01-08,D000294,P007,T013,150,78312.29,Valid
S0003936,2026-03-12,D000083,P002,T002,11,20797.86,Valid
S0000838,2026-07-24,D000168,P019,T022,14,22545.24,Valid
S0003618,2026-04-15,D000228,P027,T005,17,22577.56,Valid
S0000611,2026-03-03,D000291,P005,T031,39,26896.92,Adjusted
S0002300,2026-05-19,D000211,P001,T039,10,14834.84,Valid
S0002382,2026-06-05,D000233,P030,T039,17,14945.19,Valid
S0000479,2026-05-12,D000076,P012,T049,11,14547.43,Valid
S0002250,2026-03-22,D000112,P008,T039,15,27735.62,Valid
S0002743,2026-02-23,D000095,P012,T026,23,31314.06,Valid
S0000413,2026-03-21,D000058,P015,T049,51,38245.96,Valid
S0004314,2026-07-15,D000027,P015,T048,16,12138.75,Valid
S0003822,2026-07-23,D000150,P008,T013,9,16234.9,Valid
S0000769,2026-05-27,D000132,P023,T042,3,8014.22,Valid
S0003624,2026-05-10,D000240,P027,T005,26,34292.04,Valid
S0001690,2026-05-20,D000075,P026,T016,583,80896.86,Valid
S0000678,2026-07-24,D000300,P015,T006,34,25482.59,Valid
S0003497,2026-06-19,D000242,P003,T011,6,13578.3,Valid
S0001869,2026-05-01,D000033,P005,T031,22,15045.48,Valid
S0002611,2026-05-07,D000269,P009,T031,23,31731.25,Valid
S0001782,2026-05-24,D000067,P004,T016,63,21446.49,Valid
S0001334,2026-04-10,D000085,P008,T032,24,43523.65,Valid
S0001524,2026-05-04,D000038,P019,T027,8,12693.57,Valid
S0001988,2026-01-01,D000264,P004,T031,70,23845.76,Valid
S0002044,2026-04-09,D000117,P024,T006,35,49435.28,Valid
S0003683,2026-07-18,D000258,P007,T013,83,43373.72,Valid
S0002098,2026-06-22,D000117,P003,T006,7,16292.74,Valid
S0004123,2026-03-05,D000042,P025,T010,16,38996.98,Valid
S0002543,2026-01-24,D000054,P016,T039,9,17430.69,Valid
S0002107,2026-02-21,D000147,P010,T006,16,24239.88,Valid
S0001635,2026-06-18,D000102,P002,T027,13,23582.82,Valid
S0001810,2026-04-08,D000137,P027,T016,13,16315.97,Valid
S0000078,2026-06-09,D000056,P012,T023,35,47460.79,Valid
S0001099,2026-02-15,D000025,P011,T049,20,21154.39,Valid
S0001091,2026-06-15,D000125,P008,T003,12,22400.42,Valid
S0001377,2026-02-25,D000204,P002,T032,16,29456.88,Valid
S0000235,2026-01-22,D000001,P009,T043,11,14417.68,Valid
S0002070,2026-07-02,D000260,P018,T006,20,30923.9,Valid
S0001979,2026-07-12,D000033,P016,T031,19,35521.07,Valid
S0000993,2026-02-25,D000082,P004,T003,213,72091.81,Valid
S0000418,2026-04-23,D000058,P015,T049,34,25329.59,Valid
S0002391,2026-02-21,D000211,P006,T039,46,71516.48,Valid
S0001699,2026-01-08,D000075,P029,T016,8,14812.89,Valid
S0003410,2026-01-15,D000127,P012,T006,8,10615.34,Valid
S0003020,2026-03-06,D000100,P014,T021,10,22279.83,Valid
S0003081,2026-02-08,D000122,P018,T021,31,47867.03,Valid
S0003078,2026-01-24,D000273,P018,T021,17,26613.92,Valid
S0003372,2026-05-03,D000202,P024,T006,9,12904.59,Valid
S0000903,2026-07-19,D000007,P018,T022,21,32370.78,Valid
S0000010,2026-03-15,D000020,P004,T023,49,16659.97,Valid
S0001049,2026-04-02,D000241,P027,T003,7,9555.96,Valid
S0004078,2026-04-17,D000037,P007,T046,34,17774.81,Valid
S0002999,2026-05-25,D000066,P009,T021,24,32860.4,Valid
S0002829,2026-01-07,D000032,P003,T044,10,22713.67,Valid
S0001191,2026-04-10,D000216,P019,T049,9,14836.24,Valid
S0000433,2026-07-11,D000058,P015,T049,55,41397.2,Valid
S0001139,2026-04-01,D000192,P022,T049,134,38039.06,Valid
S0002495,2026-07-05,D000054,P002,T039,19,35980.62,Valid
S0001136,2026-03-01,D000289,P022,T049,205,57949.0,Valid
S0002239,2026-07-04,D000123,P002,T020,22,40658.19,Returned
S0000035,2026-02-13,D000238,P001,T023,47,71027.49,Valid
S0000310,2026-06-16,D000163,P021,T043,36,22651.19,Valid
S0001460,2026-01-02,D000204,P009,T032,25,34560.28,Valid
S0004192,2026-01-02,D000159,P014,T029,4,7801.13,Valid
S0002448,2026-05-19,D000208,P010,T039,8,12693.14,Valid
S0000076,2026-05-26,D000203,P012,T023,20,26836.94,Valid
S0004210,2026-05-18,D000016,P014,T029,6,13313.25,Valid
S0000061,2026-02-22,D000199,P012,T023,21,27772.53,Valid
S0002486,2026-06-02,D000220,P002,T039,11,20321.45,Returned
S0002504,2026-03-04,D000068,P029,T039,37,70491.63,Valid
S0001650,2026-03-11,D000043,P010,T027,5,7179.37,Valid
S0003240,2026-01-11,D000142,P019,T033,17,26141.18,Valid
S0000368,2026-07-25,D000244,P021,T049,63,39735.4,Valid
S0000950,2026-05-17,D000268,P003,T022,17,37714.47,Valid
S0004310,2026-07-10,D000148,P015,T048,16,12138.75,Valid
S0001501,2026-07-05,D000038,P004,T027,99,33567.5,Adjusted
S0003603,2026-01-02,D000128,P027,T005,23,29358.03,Valid
S0001844,2026-07-05,D000138,P017,T016,18,24715.94,Valid
S0003766,2026-07-15,D000078,P010,T013,16,25008.36,Valid
S0002655,2026-04-16,D000269,P014,T031,6,13007.98,Valid
S0000111,2026-01-24,D000203,P009,T023,6,8514.22,Valid
S0001361,2026-03-04,D000073,P021,T032,92,58271.48,Valid
S0001743,2026-04-18,D000154,P019,T016,17,27027.51,Valid
S0000946,2026-04-08,D000168,P003,T022,16,35729.9,Valid
S0004360,2026-03-12,D000141,P027,T048,43,55771.04,Valid
S0000717,2026-05-04,D000300,P007,T006,45,23755.15,Valid
S0001495,2026-06-08,D000124,P004,T027,48,16375.12,Valid
S0004016,2026-03-22,D000087,P004,T046,61,20709.05,Valid
S0001678,2026-01-20,D000075,P026,T016,188,26035.21,Valid
S0002541,2026-07-18,D000237,P017,T039,28,39817.72,Valid
S0002891,2026-04-02,D000252,P028,T044,12,16722.78,Valid
S0000842,2026-01-09,D000164,P026,T022,229,31837.73,Valid
S0001445,2026-05-18,D000246,P010,T032,17,27130.55,Valid
S0003527,2026-07-03,D000179,P028,T011,13,17297.09,Valid
S0003756,2026-05-21,D000196,P010,T013,13,19705.95,Valid
S0000441,2026-02-12,D000244,P010,T049,8,12152.73,Valid
S0000406,2026-02-21,D000255,P015,T049,31,23055.14,Valid
S0003363,2026-02-08,D000130,P024,T006,6,9215.49,Valid
S0000032,2026-01-27,D000056,P001,T023,17,25161.84,Valid
S0000443,2026-02-06,D000172,P010,T049,8,12152.73,Valid
S0002064,2026-04-25,D000260,P018,T006,25,38858.09,Valid
S0001055,2026-05-09,D000232,P027,T003,20,26389.09,Valid
S0002283,2026-05-16,D000019,P002,T039,15,27425.86,Valid
S0002072,2026-01-18,D000235,P003,T006,6,14083.48,Valid
S0003613,2026-03-20,D000250,P027,T005,18,22799.0,Valid
S0002785,2026-05-16,D000286,P025,T026,18,45765.45,Valid
S0001971,2026-05-11,D000175,P016,T031,23,43396.05,Valid
S0002879,2026-07-03,D000165,P020,T044,33,31439.85,Valid
S0000110,2026-01-09,D000056,P009,T023,6,8514.22,Valid
S0003181,2026-02-13,D000086,P008,T033,5,10093.99,Valid
S0002112,2026-03-23,D000235,P010,T006,13,19722.13,Valid
S0001918,2026-04-25,D000264,P025,T031,4,10682.48,Valid
S0003204,2026-07-03,D000086,P008,T033,7,13006.3,Valid
S0003945,2026-04-04,D000140,P002,T002,11,20754.08,Valid
S0001512,2026-02-01,D000206,P019,T027,5,8534.38,Valid
S0000734,2026-02-27,D000230,P010,T042,11,17837.38,Valid
S0001064,2026-07-14,D000241,P027,T003,8,10132.57,Valid
S0000647,2026-05-23,D000290,P025,T031,11,26766.79,Valid
S0002862,2026-03-21,D000223,P020,T044,48,46011.49,Valid
S0003751,2026-04-10,D000103,P010,T013,18,28055.09,Valid
S0000382,2026-04-22,D000255,P004,T049,93,31465.66,Valid
S0003380,2026-06-05,D000202,P024,T006,5,7595.4,Valid
S0002682,2026-02-18,D000286,P011,T026,29,30587.28,Valid
S0002005,2026-07-18,D000249,P004,T031,69,23406.09,Valid
S0002321,2026-04-16,D000292,P019,T039,7,10410.64,Adjusted
S0002629,2026-03-21,D000217,P023,T031,31,74555.11,Valid
S0001295,2026-02-04,D000061,P023,T032,6,15297.07,Valid
S0000939,2026-02-18,D000287,P003,T022,16,36236.46,Valid
S0003106,2026-03-11,D000176,P008,T021,18,32435.45,Valid
S0004367,2026-04-13,D000133,P027,T048,14,18233.29,Valid
S0003075,2026-01-18,D000176,P018,T021,17,26613.92,Adjusted
S0003559,2026-01-25,D000189,P026,T005,324,44943.67,Valid
S0003730,2026-05-27,D000151,P029,T013,11,21484.07,Valid
S0001304,2026-03-20,D000024,P023,T032,6,13241.58,Valid
S0003023,2026-03-08,D000122,P014,T021,10,22279.83,Valid
S0003396,2026-05-12,D000064,P022,T006,96,27294.31,Valid
S0000732,2026-01-24,D000049,P010,T042,37,57386.05,Valid
S0000315,2026-07-04,D000224,P021,T043,85,54020.58,Valid
S0003330,2026-02-27,D000173,P020,T033,26,25330.84,Valid
S0002399,2026-04-09,D000094,P006,T039,21,31775.62,Adjusted
S0000943,2026-03-15,D000012,P003,T022,23,52201.12,Valid
S0004148,2026-03-27,D000016,P022,T029,34,9753.61,Valid
S0002114,2026-03-10,D000147,P010,T006,13,19722.13,Valid
S0001933,2026-02-20,D000249,P029,T031,8,15675.67,Valid
S0003217,2026-04-14,D000245,P018,T033,8,13025.42,Valid
S0000139,2026-07-08,D000186,P009,T023,9,12067.42,Valid
S0003014,2026-07-12,D000100,P009,T021,17,23597.79,Valid
S0000888,2026-04-01,D000287,P018,T022,19,29785.99,Valid
S0000109,2026-01-03,D000077,P009,T023,6,8514.22,Valid
S0002845,2026-05-18,D000032,P003,T044,33,76262.01,Valid
S0002687,2026-03-26,D000177,P011,T026,20,20809.35,Valid
S0002185,2026-07-25,D000123,P019,T020,8,13025.32,Valid
S0001404,2026-02-05,D000205,P005,T032,11,7272.51,Valid
S0000292,2026-01-03,D000009,P021,T043,69,44012.96,Valid
S0001374,2026-01-18,D000024,P002,T032,40,74125.97,Valid
S0002257,2026-05-19,D000215,P008,T039,19,35485.26,Valid
S0000645,2026-05-08,D000261,P025,T031,11,26766.79,Cancelled
S0003849,2026-01-02,D000140,P014,T002,15,32121.88,Adjusted
S0002426,2026-04-26,D000237,P019,T039,7,11608.14,Valid
S0002467,2026-01-11,D000296,P002,T039,11,20849.46,Valid
S0001195,2026-05-17,D000015,P019,T049,7,11158.75,Valid
S0001259,2026-07-26,D000015,P010,T049,22,34158.12,Valid
S0001207,2026-07-05,D000253,P019,T049,8,12770.81,Valid
S0003599,2026-05-14,D000010,P014,T005,24,51565.0,Valid
S0003941,2026-04-17,D000188,P002,T002,11,20754.08,Valid
S0001178,2026-01-11,D000174,P019,T049,15,23251.25,Valid
S0004012,2026-02-26,D000267,P004,T046,63,21238.09,Valid
S0001172,2026-07-24,D000174,P026,T049,111,15335.37,Valid
S0003201,2026-07-12,D000182,P008,T033,7,13006.3,Valid
S0003190,2026-04-04,D000245,P008,T033,7,13036.31,Valid
S0001855,2026-03-08,D000175,P005,T031,22,15286.85,Valid
S0003718,2026-02-01,D000187,P029,T013,14,26492.38,Valid
S0001416,2026-04-21,D000085,P005,T032,11,7717.85,Valid
S0003105,2026-03-15,D000273,P008,T021,18,32435.45,Valid
S0001778,2026-04-25,D000162,P004,T016,71,24068.13,Valid
S0003413,2026-01-14,D000064,P012,T006,8,10615.34,Valid
S0001326,2026-02-19,D000136,P008,T032,21,38666.35,Valid
S0002366,2026-02-16,D000211,P030,T039,32,27624.97,Valid
S0001173,2026-07-10,D000025,P026,T049,111,15335.37,Valid
S0001539,2026-03-20,D000043,P016,T027,5,8367.98,Valid
S0002069,2026-07-14,D000117,P018,T006,20,30923.9,Valid
S0000893,2026-05-07,D000278,P018,T022,23,35032.65,Valid
S0000928,2026-07-23,D000040,P023,T022,4,9317.84,Valid
S0002770,2026-01-10,D000095,P025,T026,10,25178.31,Valid
S0002487,2026-06-13,D000011,P002,T039,11,20321.45,Valid
S0004235,2026-04-08,D000214,P018,T048,8,12744.1,Valid
S0001088,2026-06-25,D000183,P008,T003,12,22400.42,Valid
S0004331,2026-04-26,D000084,P026,T048,144,20007.28,Valid
S0002766,2026-07-22,D000286,P012,T026,40,53852.32,Returned
S0000523,2026-05-24,D000152,P029,T031,20,38962.08,Valid
S0003963,2026-02-03,D000280,P027,T046,14,18326.89,Valid
S0000781,2026-02-07,D000057,P015,T042,15,11501.08,Valid
S0002747,2026-03-25,D000118,P012,T026,31,41383.94,Valid
S0003464,2026-05-01,D000127,P027,T006,16,20217.56,Valid
S0002432,2026-05-23,D000114,P019,T039,10,16182.35,Valid
S0000510,2026-01-05,D000261,P029,T031,21,40966.06,Valid
S0000644,2026-05-07,D000152,P025,T031,11,26766.79,Valid
S0000345,2026-07-23,D000255,P002,T049,11,21380.14,Valid
S0003175,2026-07-13,D000142,P030,T033,27,23009.89,Valid
S0000906,2026-01-15,D000012,P023,T022,3,6805.77,Valid
S0001023,2026-04-13,D000134,P017,T003,10,14631.35,Valid
S0001074,2026-03-26,D000156,P008,T003,14,26364.82,Valid
S0002021,2026-05-21,D000072,P021,T006,77,48784.41,Valid
S0001531,2026-02-12,D000043,P016,T027,4,8336.59,Valid
S0004236,2026-04-22,D000141,P018,T048,8,12744.1,Valid
S0002219,2026-03-24,D000088,P002,T020,5,10034.12,Valid
S0002434,2026-06-26,D000054,P019,T039,16,25043.58,Valid
S0003402,2026-07-27,D000236,P022,T006,40,11297.27,Cancelled
S0001616,2026-03-10,D000107,P002,T027,15,28638.85,Valid
S0003798,2026-06-03,D000200,P022,T013,117,33206.69,Valid
S0000505,2026-06-11,D000058,P022,T049,103,29180.94,Valid
S0002618,2026-07-13,D000096,P009,T031,13,18326.03,Valid
S0002579,2026-02-12,D000068,P026,T039,233,32295.93,Valid
S0000417,2026-04-08,D000244,P015,T049,34,25329.59,Valid
S0002386,2026-01-12,D000279,P006,T039,13,20432.33,Valid
S0002478,2026-04-13,D000220,P002,T039,14,26882.74,Valid
S0004059,2026-06-06,D000036,P024,T046,7,10535.66,Valid
S0000452,2026-06-23,D000076,P010,T035,10,15902.83,Valid
S0000583,2026-02-01,D000291,P021,T031,32,20155.8,Valid
S0002227,2026-04-20,D000129,P002,T020,5,8625.73,Valid
S0001353,2026-01-17,D000026,P021,T037,102,64620.0,Valid
S0004239,2026-05-24,D000141,P018,T028,23,35469.68,Valid
S0001883,2026-01-01,D000101,P012,T031,22,28994.29,Valid
S0000085,2026-01-26,D000077,P030,T023,24,20864.47,Valid
S0003403,2026-07-15,D000064,P022,T006,40,11297.27,Valid
S0003886,2026-03-22,D000188,P029,T002,16,30438.56,Valid
S0001220,2026-04-10,D000216,P002,T049,33,62417.25,Valid
S0003069,2026-07-26,D000213,P005,T021,29,19640.47,Valid
S0001163,2026-04-10,D000015,P026,T049,125,17410.39,Valid
S0001740,2026-03-07,D000154,P019,T016,14,21496.08,Valid
S0001915,2026-04-25,D000175,P025,T031,4,10682.48,Valid
S0002759,2026-05-15,D000093,P012,T026,17,22789.73,Valid
S0002139,2026-03-11,D000117,P005,T006,62,42459.27,Valid
S0001502,2026-07-16,D000206,P004,T027,99,33567.5,Valid
S0004073,2026-02-11,D000087,P007,T046,37,19379.14,Valid
S0002888,2026-04-19,D000266,P028,T044,12,16722.78,Valid
S0002442,2026-03-16,D000068,P010,T039,18,28184.38,Valid
S0004194,2026-01-01,D000210,P014,T029,4,7801.13,Adjusted
S0000356,2026-04-20,D000039,P021,T049,54,34535.44,Valid
S0002220,2026-03-18,D000129,P002,T020,5,10034.12,Valid
S0001552,2026-05-05,D000161,P016,T027,5,8966.03,Valid
S0002552,2026-03-10,D000104,P016,T039,16,29149.92,Valid
S0001860,2026-04-14,D000101,P005,T031,24,16707.18,Valid
S0004255,2026-02-20,D000157,P003,T048,5,10977.23,Valid
S0001385,2026-04-14,D000299,P002,T032,19,34741.81,Valid
S0001848,2026-01-06,D000175,P005,T031,55,37747.71,Valid
S0002819,2026-06-09,D000093,P015,T026,50,37579.17,Valid
S0002640,2026-07-26,D000269,P023,T031,11,27287.79,Valid
S0004185,2026-07-21,D000229,P007,T029,21,11010.47,Valid
S0004303,2026-05-26,D000084,P015,T048,24,18004.53,Valid
S0003286,2026-06-23,D000191,P016,T033,7,12185.83,Valid
S0002007,2026-07-12,D000274,P004,T031,69,23406.09,Valid
S0003249,2026-04-09,D000191,P019,T033,18,29020.43,Valid
S0002595,2026-07-27,D000243,P026,T039,303,42094.42,Valid
S0002551,2026-02-27,D000011,P016,T050,11,20695.03,Valid
S0000632,2026-01-02,D000152,P025,T031,14,33484.67,Valid
S0001694,2026-06-03,D000154,P026,T016,276,38336.55,Valid
S0002031,2026-01-14,D000117,P024,T006,29,41105.68,Adjusted
S0003374,2026-05-08,D000064,P024,T006,9,12904.59,Valid
S0002188,2026-01-08,D000123,P010,T020,6,9793.87,Valid
S0003335,2026-04-05,D000079,P020,T033,31,29729.18,Valid
S0003934,2026-02-27,D000083,P002,T002,11,21171.27,Valid
S0001755,2026-06-05,D000067,P019,T016,14,21497.41,Valid
S0001549,2026-05-08,D000248,P016,T045,5,8966.03,Valid
S0001567,2026-02-26,D000206,P014,T027,7,14202.46,Valid
S0003687,2026-02-16,D000153,P018,T018,29,45170.66,Valid
S0004252,2026-01-23,D000133,P003,T048,10,21710.88,Valid
S0001936,2026-02-23,D000033,P029,T031,8,15675.67,Valid
S0000833,2026-06-09,D000293,P019,T022,22,34753.72,Valid
S0003443,2026-07-07,D000130,P012,T006,8,10516.98,Valid
S0003964,2026-02-01,D000087,P027,T046,14,18326.89,Valid
S0001052,2026-04-16,D000053,P027,T003,7,9555.96,Valid
S0003652,2026-06-09,D000258,P017,T013,38,53087.96,Valid
S0000300,2026-03-17,D000052,P021,T043,27,17479.86,Valid
S0002408,2026-07-10,D000090,P006,T039,12,18508.58,Valid
S0000203,2026-07-20,D000034,P024,T043,13,17915.73,Valid
S0002405,2026-06-26,D000092,P006,T039,16,24342.36,Valid
S0000984,2026-07-11,D000278,P027,T022,23,29832.74,Valid
S0003670,2026-04-25,D000212,P007,T013,63,32813.67,Adjusted
S0003391,2026-03-20,D000171,P022,T006,44,12501.88,Valid
S0002826,2026-07-21,D000095,P015,T026,49,37038.87,Valid
S0000023,2026-07-05,D000056,P004,T023,45,15126.74,Valid
S0002931,2026-07-11,D000252,P008,T044,19,34856.58,Valid
S0000476,2026-04-27,D000039,P012,T049,13,17743.17,Valid
S0002996,2026-04-15,D000213,P009,T021,29,39613.82,Adjusted
S0000137,2026-07-21,D000077,P009,T023,9,12067.42,Valid
S0002775,2026-03-21,D000041,P025,T026,10,23703.75,Valid
S0000403,2026-01-11,D000076,P015,T049,34,25741.06,Valid
S0000177,2026-02-09,D000198,P024,T043,37,52232.54,Valid
S0004280,2026-06-01,D000148,P003,T048,5,10463.42,Valid
S0001770,2026-02-21,D000097,P004,T016,57,19157.99,Valid
S0000179,2026-03-04,D000198,P024,T043,20,29082.09,Valid
S0001438,2026-03-09,D000299,P010,T032,38,59566.87,Valid
S0003771,2026-01-03,D000257,P022,T013,111,31447.67,Valid
S0001768,2026-02-04,D000137,P004,T016,57,19157.99,Valid
S0001076,2026-03-15,D000134,P008,T003,14,26364.82,Valid
S0002163,2026-02-12,D000129,P019,T020,10,16012.52,Valid
S0002186,2026-07-24,D000158,P019,T020,8,13025.32,Valid
S0003732,2026-06-16,D000153,P029,T013,22,42405.31,Valid
S0000208,2026-02-25,D000163,P019,T043,17,27234.67,Valid
S0002276,2026-04-10,D000259,P002,T039,5,8758.67,Valid
S0002865,2026-04-04,D000008,P020,T044,23,22538.89,Valid
