sale id,sales date,physician id,product id,territory code,units,sales amount,sale status
S0000385,2026-04-13,D000188,P010,T040,8,10789.3,Valid
S0003823,2026-05-22,D000127,P017,T018,21,37578.01,Valid
S0000883,2026-05-13,D000038,P002,T046,24,31287.74,Valid
S0000011,2026-05-27,D000272,P019,T019,82,53976.95,Valid
S0000450,2026-03-25,D000240,P024,T024,37,75024.44,Valid
S0004230,2026-02-11,D000210,P025,T042,73,74696.06,Valid
S0003463,2026-04-14,D000204,P028,T014,9,22586.86,Cancelled
S0002058,2026-01-12,D000011,P022,T015,9,17570.42,Valid
S0004118,2026-06-11,D000007,P006,T044,8,11730.6,Valid
S0003565,2026-01-02,D000252,P024,T043,5,9631.4,Valid
S0004205,2026-02-07,D000132,P021,T042,111,22766.41,Valid
S0002411,2026-06-11,D000149,P018,T018,15,22218.02,Valid
S0000633,2026-02-10,D000031,P026,T037,16,27573.16,Valid
S0003461,2026-03-16,D000037,P028,T014,11,27022.73,Valid
S0003904,2026-04-18,D000235,P010,T045,21,29782.63,Valid
S0001096,2026-04-08,D000285,P029,T005,17,21297.22,Valid
S0003055,2026-07-17,D000131,P019,T011,19,12274.71,Valid
S0002016,2026-05-04,D000184,P018,T015,18,26559.21,Valid
S0003504,2026-07-11,D000180,P027,T043,5,10877.68,Valid
S0002731,2026-02-12,D000130,P018,T041,14,19902.16,Valid
S0000360,2026-05-27,D000150,P001,T040,5,11258.67,Valid
S0003818,2026-03-26,D000216,P017,T018,12,20882.27,Valid
S0002910,2026-05-11,D000041,P014,T024,14,17193.48,Valid
S0001333,2026-04-26,D000230,P008,T043,14,17813.35,Valid
S0003617,2026-07-12,D000166,P025,T043,31,32309.19,Valid
S0000950,2026-02-06,D000122,P007,T046,6,14175.8,Valid
S0004256,2026-02-13,D000211,P024,T042,7,14309.35,Valid
S0003671,2026-01-07,D000228,P009,T018,57,25932.07,Valid
S0000567,2026-01-20,D000276,P011,T037,26,23676.1,Valid
S0003258,2026-03-07,D000289,P028,T023,10,24430.54,Valid
S0004102,2026-02-11,D000028,P006,T044,27,40288.08,Valid
S0000014,2026-06-21,D000272,P019,T019,69,45545.95,Valid
S0002870,2026-04-06,D000215,P022,T024,13,23731.02,Valid
S0000578,2026-03-18,D000121,P011,T037,37,34180.3,Valid
S0003443,2026-04-11,D000253,P015,T014,16,14130.41,Valid
S0003465,2026-04-11,D000052,P028,T014,9,22586.86,Valid
S0002416,2026-07-26,D000149,P018,T018,7,9934.02,Valid
S0001594,2026-01-04,D000059,P014,T050,46,55240.1,Cancelled
S0001361,2026-04-06,D000063,P020,T043,22,43488.39,Cancelled
S0004150,2026-06-15,D000200,P024,T044,9,17698.77,Valid
S0002767,2026-04-19,D000194,P025,T041,23,23509.79,Valid
S0001010,2026-03-01,D000293,P021,T046,86,17558.57,Valid
S0000288,2026-05-17,D000114,P011,T040,23,21785.85,Valid
S0001042,2026-06-22,D000034,P007,T005,9,22069.14,Valid
S0003843,2026-02-20,D000235,P026,T045,14,23451.42,Valid
S0002173,2026-07-15,D000019,P021,T007,215,44104.61,Valid
S0002144,2026-06-08,D000053,P010,T007,10,13969.47,Valid
S0000864,2026-06-02,D000047,P003,T046,5,10173.48,Valid
S0001400,2026-02-14,D000063,P002,T043,7,9514.06,Valid
S0003622,2026-01-21,D000115,P012,T043,27,37816.93,Valid
S0000400,2026-03-09,D000275,P014,T040,30,35936.78,Valid
S0002441,2026-05-20,D000054,P016,T018,12,6756.16,Valid
S0003610,2026-05-12,D000099,P025,T043,40,40842.75,Valid
S0000488,2026-07-24,D000263,P014,T024,20,23337.4,Valid
S0002862,2026-02-12,D000119,P022,T024,15,28786.27,Valid
S0000986,2026-03-02,D000122,P028,T046,3,8519.02,Valid
S0001483,2026-04-16,D000157,P018,T015,8,11392.44,Adjusted
S0003160,2026-07-25,D000140,P020,T024,13,26125.02,Valid
S0001867,2026-02-27,D000199,P017,T006,11,20308.65,Valid
S0002088,2026-01-02,D000042,P009,T015,29,13361.97,Valid
S0002439,2026-05-11,D000273,P016,T018,12,6756.16,Valid
S0002643,2026-01-13,D000118,P017,T030,43,76730.63,Valid
S0002692,2026-01-17,D000128,P006,T041,23,34953.62,Valid
S0001418,2026-07-12,D000134,P002,T043,9,12277.18,Valid
S0000413,2026-06-19,D000299,P014,T040,43,51487.42,Valid
S0001238,2026-07-15,D000090,P017,T003,13,23933.12,Valid
S0003932,2026-04-16,D000016,P024,T045,13,27334.27,Valid
S0003684,2026-05-24,D000160,P009,T018,25,11411.8,Valid
S0002360,2026-06-26,D000078,P026,T025,14,24508.57,Valid
S0002929,2026-01-25,D000265,P018,T024,14,20507.21,Valid
S0001945,2026-01-26,D000246,P018,T006,20,29250.14,Valid
S0002361,2026-06-13,D000008,P026,T025,14,24508.57,Valid
S0001879,2026-05-14,D000246,P017,T006,10,18375.07,Valid
S0002781,2026-06-01,D000182,P025,T041,29,29724.67,Valid
S0004293,2026-03-12,D000258,P027,T042,6,13270.28,Valid
S0002785,2026-01-02,D000021,P011,T041,20,18844.75,Valid
S0001959,2026-04-25,D000036,P018,T006,18,26636.81,Valid
S0001366,2026-07-06,D000218,P020,T043,15,30385.35,Valid
S0002099,2026-03-14,D000154,P009,T015,62,28298.19,Valid
S0000722,2026-02-20,D000108,P001,T013,10,24060.85,Valid
S0000017,2026-07-26,D000045,P019,T019,73,47951.35,Valid
S0000611,2026-03-13,D000121,P008,T037,16,20321.34,Valid
S0001793,2026-03-01,D000221,P003,T006,6,12980.42,Valid
S0000228,2026-04-23,D000247,P018,T041,22,32497.22,Valid
S0004308,2026-06-10,D000258,P027,T042,21,43930.73,Valid
S0000235,2026-05-07,D000295,P018,T041,18,25793.77,Valid
S0000946,2026-01-07,D000075,P007,T046,5,13502.15,Valid
S0002094,2026-02-01,D000042,P009,T015,36,16271.64,Returned
S0001735,2026-01-15,D000198,P004,T019,64,50099.37,Valid
S0002371,2026-02-08,D000078,P021,T025,307,62859.24,Valid
S0001507,2026-03-26,D000201,P020,T015,10,19074.45,Valid
S0000676,2026-05-18,D000084,P024,T013,17,34869.34,Cancelled
S0002215,2026-03-07,D000064,P013,T007,20,28270.29,Valid
S0004173,2026-06-20,D000163,P002,T044,18,24355.96,Valid
S0000514,2026-07-17,D000100,P020,T024,14,27112.75,Valid
S0003204,2026-03-22,D000095,P021,T024,85,17356.75,Valid
S0000010,2026-04-15,D000272,P019,T019,127,83608.9,Valid
S0001032,2026-04-07,D000082,P007,T005,10,25964.14,Valid
S0004283,2026-01-11,D000269,P027,T042,7,14368.71,Valid
S0000688,2026-01-21,D000108,P007,T013,26,65041.31,Valid
S0002775,2026-05-26,D000026,P025,T041,22,22481.17,Valid
S0001553,2026-05-06,D000129,P025,T050,13,13782.72,Adjusted
S0000870,2026-07-12,D000236,P003,T046,6,11895.56,Valid
S0002704,2026-03-26,D000021,P006,T041,21,31544.8,Valid
S0002049,2026-06-15,D000042,P025,T015,13,13400.44,Valid
S0002807,2026-01-11,D000227,P024,T041,7,13586.74,Valid
S0000161,2026-07-10,D000247,P025,T041,9,9126.66,Adjusted
S0003886,2026-06-22,D000244,P023,T045,19,33823.16,Valid
S0002621,2026-03-18,D000300,P020,T030,22,43914.83,Valid
S0002691,2026-01-20,D000250,P006,T041,23,34953.62,Valid
S0002560,2026-06-02,D000088,P012,T018,33,46499.43,Valid
S0001965,2026-05-21,D000168,P018,T006,15,22672.93,Valid
S0003156,2026-06-24,D000137,P020,T024,13,24842.31,Valid
S0002772,2026-04-13,D000026,P025,T041,23,23509.79,Valid
S0002135,2026-05-04,D000056,P010,T007,13,18218.09,Valid
S0000317,2026-05-05,D000255,P028,T040,11,25786.49,Valid
S0003420,2026-06-22,D000204,P030,T014,160,30205.72,Valid
S0000368,2026-07-12,D000117,P001,T040,4,10065.84,Valid
S0002375,2026-03-13,D000242,P021,T025,101,20718.78,Valid
S0002912,2026-05-09,D000097,P014,T024,14,17193.48,Valid
S0004303,2026-05-06,D000269,P027,T042,7,13951.47,Valid
S0004194,2026-06-05,D000132,P019,T042,39,25966.83,Valid
S0001781,2026-01-01,D000168,P003,T006,8,16238.02,Valid
S0003467,2026-05-06,D000123,P028,T014,8,20100.43,Adjusted
S0002486,2026-02-27,D000088,P029,T018,49,62715.4,Valid
S0000111,2026-07-12,D000045,P027,T018,13,26041.63,Valid
S0001908,2026-05-04,D000246,P007,T006,11,28080.44,Valid
S0000966,2026-05-07,D000236,P007,T046,4,10025.63,Valid
S0003197,2026-01-26,D000283,P021,T024,127,25939.34,Valid
S0002119,2026-01-10,D000056,P010,T007,15,20869.63,Valid
S0000717,2026-01-25,D000185,P001,T013,10,22382.86,Valid
S0003468,2026-05-22,D000076,P028,T014,8,20100.43,Valid
S0003755,2026-07-09,D000113,P015,T018,30,26084.7,Valid
S0003817,2026-03-11,D000228,P017,T018,12,20882.27,Valid
S0003087,2026-01-01,D000112,P015,T011,32,28177.35,Valid
S0003586,2026-07-10,D000180,P024,T043,16,33285.38,Valid
S0002275,2026-05-23,D000190,P020,T025,33,64283.88,Valid
S0002354,2026-05-20,D000008,P026,T025,19,32489.17,Valid
S0002953,2026-07-05,D000265,P018,T024,39,57022.54,Valid
S0002046,2026-05-09,D000042,P025,T015,15,15399.97,Valid
S0000406,2026-04-19,D000145,P014,T040,24,28187.51,Valid
S0003263,2026-04-08,D000067,P028,T023,23,56770.87,Valid
S0000032,2026-05-18,D000045,P011,T019,31,28560.76,Valid
S0000443,2026-01-07,D000240,P024,T024,20,41038.5,Valid
S0000322,2026-01-01,D000220,P013,T040,5,6698.17,Valid
S0002650,2026-03-02,D000277,P017,T030,19,34571.76,Valid
S0003112,2026-01-27,D000222,P002,T011,52,68031.34,Returned
S0004149,2026-06-13,D000028,P024,T044,9,17698.77,Valid
S0001775,2026-06-09,D000083,P008,T019,31,38979.09,Valid
S0004027,2026-02-08,D000187,P030,T044,72,13649.34,Valid
S0000904,2026-04-12,D000296,P020,T046,10,19672.87,Valid
S0000152,2026-04-17,D000005,P025,T041,10,9849.17,Valid
S0003778,2026-07-19,D000249,P006,T018,22,33720.25,Valid
S0001550,2026-05-22,D000212,P025,T050,13,13782.72,Valid
S0000993,2026-04-21,D000207,P028,T046,4,9297.39,Valid
S0002860,2026-01-19,D000175,P022,T024,30,56053.79,Valid
S0001321,2026-01-09,D000230,P008,T043,43,54795.66,Valid
S0003996,2026-01-18,D000025,P014,T044,35,41604.49,Valid
S0000734,2026-06-06,D000185,P001,T013,10,22992.01,Valid
S0003978,2026-03-11,D000244,P005,T045,13,10481.88,Valid
S0000647,2026-04-25,D000121,P026,T037,10,17590.67,Valid
S0004143,2026-04-18,D000007,P024,T044,7,14061.43,Valid
S0003250,2026-01-14,D000071,P028,T023,23,57469.96,Valid
S0002286,2026-01-17,D000055,P018,T025,10,14499.23,Valid
S0004104,2026-03-22,D000012,P006,T044,18,27095.67,Valid
S0000689,2026-01-17,D000018,P007,T013,26,65041.31,Valid
S0001380,2026-05-17,D000218,P003,T043,11,21903.05,Valid
S0003876,2026-04-15,D000152,P023,T045,14,25410.41,Valid
S0002355,2026-05-04,D000242,P026,T025,19,32489.17,Valid
S0003779,2026-01-24,D000004,P007,T018,8,18891.43,Valid
S0004109,2026-04-05,D000007,P006,T044,8,11503.7,Valid
S0001885,2026-07-03,D000032,P017,T006,6,11099.71,Valid
S0001149,2026-02-05,D000070,P030,T005,95,18033.15,Valid
S0002904,2026-04-24,D000175,P014,T024,20,24357.02,Valid
S0004147,2026-06-26,D000012,P024,T044,9,17698.77,Valid
S0002845,2026-03-25,D000041,P020,T024,18,34325.95,Valid
S0003626,2026-02-08,D000180,P012,T043,19,26389.34,Valid
S0003727,2026-01-17,D000004,P015,T018,75,65144.25,Valid
S0003976,2026-02-09,D000152,P005,T045,21,16963.83,Valid
S0003153,2026-05-07,D000087,P020,T024,8,16451.51,Valid
S0003713,2026-04-23,D000216,P023,T018,13,23965.7,Valid
S0003674,2026-03-07,D000228,P009,T018,40,18119.13,Valid
S0002896,2026-02-20,D000111,P014,T024,22,26401.26,Valid
S0000600,2026-01-09,D000094,P008,T037,14,18217.59,Valid
S0002177,2026-01-05,D000019,P014,T007,19,23191.24,Valid
S0003989,2026-06-24,D000214,P005,T045,31,25176.52,Valid
S0001890,2026-07-05,D000221,P017,T006,6,11099.71,Valid
S0002310,2026-07-15,D000078,P018,T025,19,28007.97,Valid
S0001558,2026-06-21,D000161,P025,T050,20,20138.24,Valid
S0001675,2026-04-04,D000232,P013,T019,21,29328.36,Valid
S0002230,2026-07-25,D000105,P013,T007,26,35829.54,Valid
S0000945,2026-07-02,D000236,P022,T046,20,37379.59,Valid
S0002590,2026-01-17,D000017,P027,T030,3,6745.09,Valid
S0002673,2026-02-11,D000205,P030,T030,103,19499.19,Valid
S0002102,2026-04-17,D000260,P009,T015,43,19684.37,Valid
S0000364,2026-07-14,D000188,P001,T040,4,10065.84,Valid
S0000888,2026-06-20,D000248,P002,T046,22,28375.72,Valid
S0000109,2026-06-12,D000086,P027,T019,12,23849.15,Valid
S0001457,2026-05-06,D000048,P003,T015,11,22833.61,Valid
S0002688,2026-07-26,D000300,P030,T030,248,46778.01,Valid
S0003114,2026-02-25,D000231,P002,T011,21,27888.51,Valid
S0001353,2026-02-12,D000218,P020,T043,21,41700.93,Valid
S0000292,2026-06-25,D000124,P011,T040,35,32597.72,Valid
S0002338,2026-01-06,D000055,P026,T025,19,32629.22,Valid
S0002990,2026-03-22,D000074,P011,T011,31,28451.23,Valid
S0000645,2026-04-15,D000276,P026,T037,10,17590.67,Valid
S0004065,2026-06-14,D000261,P007,T044,6,14091.11,Valid
S0003764,2026-02-13,D000216,P006,T018,9,13819.45,Valid
S0001855,2026-05-06,D000199,P002,T006,25,33252.46,Valid
S0001460,2026-05-27,D000157,P003,T015,11,22833.61,Valid
S0002231,2026-07-01,D000104,P013,T007,26,35829.54,Valid
S0002194,2026-06-01,D000286,P014,T007,19,22854.54,Valid
S0001084,2026-02-20,D000237,P029,T005,16,20443.8,Valid
S0002546,2026-03-01,D000149,P012,T018,18,25617.22,Valid
S0004292,2026-03-19,D000132,P027,T042,6,13270.28,Valid
S0001343,2026-06-22,D000178,P008,T043,28,35724.29,Cancelled
S0003782,2026-01-02,D000249,P007,T018,8,18891.43,Valid
S0000961,2026-04-20,D000038,P007,T046,4,10700.52,Valid
S0000807,2026-06-27,D000146,P013,T013,14,19715.94,Returned
S0004099,2026-01-22,D000142,P006,T044,25,38449.18,Valid
S0004186,2026-04-07,D000269,P019,T042,24,15550.07,Valid
S0002644,2026-01-03,D000017,P017,T030,43,76730.63,Returned
S0003365,2026-03-17,D000123,P003,T014,8,17563.44,Valid
S0001185,2026-03-06,D000029,P020,T003,16,31937.28,Valid
S0003827,2026-06-04,D000228,P017,T018,12,21845.19,Valid
S0002180,2026-02-17,D000064,P014,T007,29,34873.14,Valid
S0000361,2026-05-21,D000220,P001,T040,5,11258.67,Valid
S0004316,2026-01-08,D000132,P002,T042,9,12329.58,Valid
S0002095,2026-02-12,D000011,P009,T015,36,16271.64,Valid
S0000893,2026-01-03,D000207,P020,T046,10,20155.1,Valid
S0000928,2026-03-03,D000075,P022,T046,12,22222.33,Valid
S0003021,2026-04-11,D000074,P017,T011,26,45434.6,Adjusted
S0002442,2026-05-24,D000151,P016,T018,12,6756.16,Valid
S0003785,2026-02-01,D000160,P007,T018,19,47106.2,Valid
S0001088,2026-02-23,D000176,P029,T005,16,20443.8,Returned
S0000324,2026-01-17,D000150,P013,T040,5,6698.17,Valid
S0000552,2026-03-23,D000031,P001,T037,5,11456.52,Returned
S0002073,2026-04-10,D000043,P022,T015,11,20094.2,Valid
S0002220,2026-05-04,D000219,P013,T007,25,34804.86,Valid
S0000737,2026-06-03,D000148,P001,T013,10,22992.01,Valid
S0003757,2026-01-10,D000160,P006,T018,31,47444.2,Valid
S0002261,2026-02-04,D000190,P020,T025,12,23743.11,Valid
S0003042,2026-04-21,D000131,P019,T011,54,35496.09,Valid
S0000830,2026-05-21,D000108,P012,T013,7,10012.05,Valid
S0001768,2026-04-17,D000232,P008,T019,34,43042.7,Valid
S0003844,2026-02-19,D000183,P026,T045,14,23451.42,Valid
S0000906,2026-04-16,D000068,P020,T046,10,19672.87,Valid
S0002067,2026-03-16,D000154,P022,T015,20,36987.57,Valid
S0003084,2026-07-10,D000243,P003,T011,5,10463.31,Valid
S0001513,2026-04-03,D000234,P020,T015,12,23035.15,Valid
S0000308,2026-03-21,D000145,P028,T040,11,26988.55,Valid
S0001916,2026-07-24,D000003,P007,T006,15,36687.04,Valid
S0001566,2026-01-26,D000161,P022,T050,14,26821.47,Valid
S0001938,2026-06-17,D000126,P012,T006,13,17827.77,Valid
S0003393,2026-04-05,D000241,P024,T014,15,30015.43,Valid
S0003705,2026-03-09,D000051,P023,T018,11,19830.4,Valid
S0000453,2026-04-11,D000263,P024,T024,17,35703.29,Valid
S0000256,2026-03-27,D000114,P026,T040,13,21897.8,Valid
S0003608,2026-04-01,D000186,P025,T043,32,32451.52,Valid
S0001849,2026-04-17,D000073,P002,T006,8,10972.05,Valid
S0003975,2026-02-19,D000098,P005,T045,21,16963.83,Valid
S0004290,2026-02-06,D000258,P027,T042,10,20576.95,Valid
S0003076,2026-05-19,D000243,P003,T011,4,8359.58,Valid
S0001693,2026-03-02,D000232,P028,T019,5,12681.61,Valid
S0003065,2026-03-20,D000074,P003,T011,4,7338.93,Valid
S0001279,2026-02-06,D000167,P011,T003,18,17021.88,Valid
S0001492,2026-06-21,D000157,P018,T015,15,22049.59,Valid
S0002042,2026-04-16,D000154,P025,T015,15,15832.54,Valid
S0002382,2026-05-04,D000153,P021,T025,118,24199.21,Valid
S0000144,2026-03-23,D000091,P025,T041,12,12325.1,Valid
S0000252,2026-02-13,D000117,P026,T040,24,40992.08,Valid
S0003475,2026-07-26,D000076,P028,T014,13,32943.34,Valid
S0000222,2026-01-02,D000225,P018,T041,33,48099.07,Valid
S0004208,2026-03-13,D000282,P021,T042,106,21802.63,Valid
S0002461,2026-03-11,D000093,P002,T018,16,21214.58,Valid
S0002196,2026-06-17,D000217,P014,T007,19,22854.54,Valid
S0003462,2026-04-21,D000123,P028,T014,9,22586.86,Valid
S0003253,2026-02-17,D000058,P028,T023,11,26982.66,Valid
S0003792,2026-04-20,D000160,P007,T018,6,15633.13,Valid
S0002962,2026-04-26,D000231,P016,T011,53,29210.16,Valid
S0001164,2026-05-17,D000033,P030,T005,92,17411.16,Valid
S0000504,2026-04-12,D000100,P020,T024,23,45842.26,Valid
S0001625,2026-04-08,D000232,P023,T019,22,39933.68,Valid
S0003117,2026-02-04,D000279,P002,T011,21,27888.51,Valid
S0003000,2026-05-27,D000112,P011,T011,46,42850.09,Valid
S0000948,2026-01-11,D000038,P007,T046,5,13502.15,Valid
S0001112,2026-07-02,D000237,P029,T005,16,20307.03,Valid
S0001612,2026-07-08,D000161,P014,T050,47,55798.92,Valid
S0001372,2026-01-19,D000081,P003,T043,4,9193.72,Cancelled
S0000571,2026-01-13,D000089,P011,T037,26,23676.1,Valid
S0000687,2026-07-02,D000185,P024,T013,14,28518.76,Valid
S0002463,2026-04-19,D000149,P002,T018,13,17769.5,Valid
S0002670,2026-02-08,D000080,P030,T030,103,19499.19,Valid
S0002736,2026-03-19,D000138,P018,T041,13,18674.31,Valid
S0003839,2026-01-12,D000235,P026,T045,15,25819.16,Valid
S0003913,2026-07-13,D000101,P010,T045,17,23686.21,Valid
S0001985,2026-03-26,D000260,P019,T015,88,58174.31,Valid
S0004214,2026-04-20,D000269,P021,T042,122,25006.09,Valid
S0001445,2026-02-23,D000234,P003,T015,6,12625.62,Valid
S0001743,2026-04-23,D000232,P004,T019,56,43287.31,Valid
S0001048,2026-01-23,D000237,P028,T005,8,20345.67,Valid
S0002905,2026-04-13,D000172,P014,T024,20,24357.02,Valid
S0003140,2026-02-17,D000060,P020,T024,9,17616.63,Valid
S0002558,2026-06-11,D000093,P012,T018,33,46499.43,Valid
S0003704,2026-03-12,D000004,P023,T018,11,19830.4,Valid
S0000136,2026-01-03,D000295,P025,T041,10,9777.9,Adjusted
S0002075,2026-05-24,D000042,P022,T015,12,23427.33,Valid
S0003126,2026-06-19,D000222,P002,T011,24,31479.58,Valid
S0001302,2026-02-14,D000159,P025,T043,17,17940.46,Valid
S0001740,2026-03-06,D000198,P004,T019,65,50996.53,Valid
S0001242,2026-07-07,D000049,P017,T003,13,23933.12,Valid
S0003887,2026-06-17,D000016,P023,T045,19,33823.16,Valid
S0002023,2026-06-26,D000133,P018,T015,24,36025.96,Valid
S0000833,2026-05-22,D000065,P012,T013,7,10012.05,Valid
S0003377,2026-06-06,D000298,P003,T014,18,36335.52,Valid
S0004327,2026-04-20,D000211,P002,T042,16,20845.75,Valid
S0002522,2026-05-16,D000054,P003,T018,5,10826.06,Valid
S0003145,2026-03-10,D000060,P020,T024,12,22609.31,Valid
S0001109,2026-06-16,D000291,P029,T005,14,17800.03,Valid
S0003378,2026-06-20,D000052,P003,T014,18,36335.52,Valid
S0002155,2026-02-14,D000053,P021,T007,98,20005.78,Valid
S0000387,2026-05-08,D000124,P010,T040,13,17436.03,Valid
S0002476,2026-07-04,D000072,P002,T018,20,27013.26,Returned
S0003908,2026-05-04,D000214,P010,T045,54,74856.26,Valid
S0003550,2026-06-01,D000181,P020,T043,9,17811.24,Valid
S0003917,2026-07-17,D000152,P010,T045,17,23686.21,Valid
S0004151,2026-06-06,D000013,P024,T044,9,17698.77,Valid
S0000302,2026-02-07,D000299,P028,T040,14,33245.12,Returned
S0004227,2026-01-02,D000132,P025,T042,48,49081.19,Valid
S0000380,2026-02-05,D000117,P010,T040,6,8095.71,Valid
S0003589,2026-01-09,D000044,P025,T043,23,23781.95,Valid
S0001352,2026-02-07,D000143,P020,T043,21,41700.93,Valid
S0003338,2026-03-25,D000298,P016,T014,26,14615.82,Valid
S0002588,2026-01-20,D000069,P027,T030,3,6745.09,Valid
S0003074,2026-05-24,D000222,P003,T011,4,8359.58,Valid
S0002579,2026-04-27,D000088,P011,T018,35,32484.29,Valid
S0002406,2026-05-26,D000151,P018,T018,7,9931.94,Valid
S0003025,2026-05-23,D000279,P017,T011,25,43849.63,Valid
S0002298,2026-03-22,D000242,P018,T025,7,10434.48,Valid
S0004134,2026-03-03,D000007,P024,T044,7,15217.21,Valid
S0002892,2026-01-09,D000172,P014,T024,33,39301.18,Valid
S0002239,2026-03-13,D000242,P011,T025,11,9964.94,Valid
S0002523,2026-05-25,D000120,P003,T018,5,10826.06,Valid
S0004000,2026-02-08,D000092,P014,T044,53,62679.44,Valid
S0003797,2026-05-23,D000228,P007,T018,9,22513.6,Valid
S0002810,2026-02-15,D000250,P024,T041,5,11106.4,Valid
S0000375,2026-02-06,D000106,P010,T040,6,8095.71,Valid
S0001583,2026-05-01,D000059,P022,T050,14,26954.51,Valid
S0001589,2026-07-13,D000014,P022,T050,12,21882.35,Valid
S0002491,2026-04-23,D000271,P029,T018,19,24531.48,Valid
S0000318,2026-06-20,D000114,P028,T040,24,57695.09,Valid
S0003665,2026-07-07,D000216,P002,T018,11,14533.96,Valid
S0002292,2026-02-27,D000008,P018,T025,6,9331.63,Valid
S0001006,2026-02-02,D000296,P021,T046,39,8054.77,Valid
S0003003,2026-06-02,D000222,P011,T011,83,76600.86,Valid
S0002186,2026-03-09,D000208,P014,T007,16,19063.46,Valid
S0003008,2026-07-01,D000231,P011,T011,29,27039.08,Valid
S0003128,2026-06-24,D000131,P002,T011,24,31479.58,Valid
S0001037,2026-05-25,D000034,P007,T005,10,24633.37,Valid
S0002936,2026-03-23,D000041,P018,T024,17,25428.62,Valid
S0000195,2026-01-05,D000195,P017,T041,11,19032.66,Valid
