payout_id,representative_id,product_id,payout_month,expected_payout,actual_payout,payout_difference,status
51,FR0002,P016,2026-02-01,9335.49,9335.49,0.0,Processed
52,FR0002,P016,2026-03-01,4530.83,4530.83,0.0,Processed
53,FR0002,P016,2026-04-01,5058.61,5058.61,0.0,Processed
54,FR0002,P016,2026-05-01,4593.82,4593.82,0.0,Processed
55,FR0002,P016,2026-06-01,4328.31,4328.31,0.0,Processed
56,FR0002,P016,2026-07-01,4953.48,4953.48,0.0,Processed
57,FR0002,P019,2026-01-01,3134.32,3134.32,0.0,Processed
58,FR0002,P019,2026-02-01,2901.55,2901.55,0.0,Processed
59,FR0002,P019,2026-03-01,3238.97,3238.97,0.0,Processed
60,FR0002,P019,2026-04-01,3189.36,3189.36,0.0,Processed
61,FR0002,P019,2026-05-01,3314.05,3314.05,0.0,Processed
62,FR0002,P019,2026-06-01,5913.84,5913.84,0.0,Processed
63,FR0002,P019,2026-07-01,3372.99,3372.99,0.0,Processed
64,FR0002,P020,2026-01-01,0.0,0.0,0.0,Processed
65,FR0002,P020,2026-02-01,0.0,0.0,0.0,Processed
66,FR0002,P020,2026-03-01,0.0,0.0,0.0,Processed
67,FR0002,P020,2026-04-01,0.0,0.0,0.0,Processed
68,FR0002,P020,2026-05-01,0.0,0.0,0.0,Processed
69,FR0002,P020,2026-06-01,0.0,0.0,0.0,Processed
70,FR0002,P020,2026-07-01,0.0,0.0,0.0,Processed
71,FR0003,P025,2026-01-01,7263.61,7263.61,0.0,Processed
72,FR0003,P025,2026-02-01,7943.35,7943.35,0.0,Processed
73,FR0003,P025,2026-03-01,7495.28,7495.28,0.0,Processed
74,FR0003,P025,2026-04-01,6918.19,6918.19,0.0,Processed
75,FR0003,P025,2026-05-01,8141.67,8141.67,0.0,Processed
76,FR0003,P025,2026-06-01,8101.43,8101.43,0.0,Processed
77,FR0003,P025,2026-07-01,7731.16,9520.28,1789.11,Processed
78,FR0003,P012,2026-01-01,5548.26,5548.26,0.0,Processed
79,FR0003,P012,2026-02-01,5829.7,5829.7,0.0,Processed
80,FR0003,P012,2026-03-01,5342.25,5342.25,0.0,Processed
81,FR0003,P012,2026-04-01,5020.13,5020.13,0.0,Processed
82,FR0003,P012,2026-05-01,5727.3,5727.3,0.0,Processed
83,FR0003,P012,2026-06-01,4856.35,4856.35,0.0,Processed
84,FR0003,P012,2026-07-01,5495.76,5495.76,0.0,Processed
85,FR0003,P018,2026-01-01,656.23,656.23,0.0,Processed
86,FR0003,P018,2026-02-01,1619.74,1619.74,0.0,Processed
87,FR0003,P018,2026-03-01,1498.0,1498.0,0.0,Processed
88,FR0003,P018,2026-04-01,547.55,547.55,0.0,Processed
89,FR0003,P018,2026-05-01,1332.0,1332.0,0.0,Processed
90,FR0003,P018,2026-06-01,652.96,652.96,0.0,Processed
91,FR0003,P018,2026-07-01,750.78,750.78,0.0,Processed
92,FR0004,P019,2026-01-01,3720.0,3720.0,0.0,Processed
93,FR0004,P019,2026-02-01,3743.72,3743.72,0.0,Processed
94,FR0004,P019,2026-03-01,3488.63,3488.63,0.0,Processed
95,FR0004,P019,2026-04-01,3715.78,11580.95,7865.17,Processed
96,FR0004,P019,2026-05-01,3502.37,3502.37,0.0,Processed
97,FR0004,P019,2026-06-01,3679.32,3679.32,0.0,Processed
98,FR0004,P019,2026-07-01,3860.7,3860.7,0.0,Processed
99,FR0004,P013,2026-01-01,2704.83,2704.83,0.0,Processed
100,FR0004,P013,2026-02-01,3510.38,3510.38,0.0,Processed
101,FR0004,P013,2026-03-01,2719.68,2719.68,0.0,Processed
102,FR0004,P013,2026-04-01,3056.74,3056.74,0.0,Processed
103,FR0004,P013,2026-05-01,3432.2,3432.2,0.0,Processed
104,FR0004,P013,2026-06-01,2851.18,2851.18,0.0,Processed
105,FR0004,P013,2026-07-01,3255.99,3255.99,0.0,Processed
106,FR0004,P025,2026-01-01,9303.81,9303.81,0.0,Processed
107,FR0004,P025,2026-02-01,9684.94,9684.94,0.0,Processed
108,FR0004,P025,2026-03-01,9267.9,9267.9,0.0,Processed
109,FR0004,P025,2026-04-01,10097.43,10097.43,0.0,Processed
110,FR0004,P025,2026-05-01,11241.74,11241.74,0.0,Processed
111,FR0004,P025,2026-06-01,10316.88,10316.88,0.0,Processed
112,FR0004,P025,2026-07-01,10181.23,10181.23,0.0,Processed
113,FR0004,P030,2026-01-01,1729.44,1729.44,0.0,Processed
114,FR0004,P030,2026-02-01,1550.25,1550.25,0.0,Processed
115,FR0004,P030,2026-03-01,708.92,708.92,0.0,Processed
116,FR0004,P030,2026-04-01,663.35,663.35,0.0,Processed
117,FR0004,P030,2026-05-01,1586.17,1586.17,0.0,Processed
118,FR0004,P030,2026-06-01,1156.41,1156.41,0.0,Processed
119,FR0004,P030,2026-07-01,937.54,937.54,0.0,Processed
120,FR0004,P007,2026-01-01,0.0,0.0,0.0,Processed
121,FR0004,P007,2026-02-01,520.69,520.69,0.0,Processed
122,FR0004,P007,2026-03-01,427.14,427.14,0.0,Processed
123,FR0004,P007,2026-04-01,126.83,126.83,0.0,Processed
124,FR0004,P007,2026-05-01,420.52,420.52,0.0,Processed
125,FR0004,P007,2026-06-01,0.0,5864.64,5864.64,Processed
126,FR0004,P007,2026-07-01,264.61,264.61,0.0,Processed
127,FR0004,P002,2026-01-01,9150.6,9150.6,0.0,Processed
128,FR0004,P002,2026-02-01,4193.44,4193.44,0.0,Processed
129,FR0004,P002,2026-03-01,4222.69,4222.69,0.0,Processed
130,FR0004,P002,2026-04-01,3487.07,3487.07,0.0,Processed
131,FR0004,P002,2026-05-01,4514.17,4514.17,0.0,Processed
132,FR0004,P002,2026-06-01,3808.26,3808.26,0.0,Processed
133,FR0004,P002,2026-07-01,3738.82,3738.82,0.0,Processed
134,FR0004,P018,2026-01-01,0.0,0.0,0.0,Processed
135,FR0004,P018,2026-02-01,0.0,0.0,0.0,Processed
136,FR0004,P018,2026-03-01,0.0,0.0,0.0,Processed
137,FR0004,P018,2026-04-01,0.0,0.0,0.0,Processed
138,FR0004,P018,2026-05-01,0.0,0.0,0.0,Processed
139,FR0004,P018,2026-06-01,0.0,0.0,0.0,Processed
140,FR0004,P018,2026-07-01,0.0,0.0,0.0,Processed
141,FR0005,P023,2026-01-01,1774.45,1774.45,0.0,Processed
142,FR0005,P023,2026-02-01,1665.91,1665.91,0.0,Processed
143,FR0005,P023,2026-03-01,3432.16,3432.16,0.0,Processed
144,FR0005,P023,2026-04-01,1766.14,1766.14,0.0,Processed
145,FR0005,P023,2026-05-01,1499.05,1499.05,0.0,Processed
146,FR0005,P023,2026-06-01,1702.35,1702.35,0.0,Processed
147,FR0005,P023,2026-07-01,1720.03,1720.03,0.0,Processed
148,FR0005,P018,2026-01-01,3748.96,3748.96,0.0,Processed
149,FR0005,P018,2026-02-01,3791.34,3791.34,0.0,Processed
150,FR0005,P018,2026-03-01,2994.22,2994.22,0.0,Processed
151,FR0005,P018,2026-04-01,3831.02,3831.02,0.0,Processed
152,FR0005,P018,2026-05-01,2892.03,2892.03,0.0,Processed
153,FR0005,P018,2026-06-01,3315.97,3315.97,0.0,Processed
154,FR0005,P018,2026-07-01,2721.18,2721.18,0.0,Processed
155,FR0005,P026,2026-01-01,0.0,0.0,0.0,Processed
156,FR0005,P026,2026-02-01,0.0,0.0,0.0,Processed
157,FR0005,P026,2026-03-01,0.0,0.0,0.0,Processed
158,FR0005,P026,2026-04-01,0.0,0.0,0.0,Processed
159,FR0005,P026,2026-05-01,0.0,0.0,0.0,Processed
160,FR0005,P026,2026-06-01,0.0,0.0,0.0,Processed
161,FR0005,P026,2026-07-01,0.0,0.0,0.0,Processed
162,FR0005,P004,2026-01-01,1398.15,1398.15,0.0,Processed
163,FR0005,P004,2026-02-01,2371.2,2371.2,0.0,Processed
164,FR0005,P004,2026-03-01,1309.55,1309.55,0.0,Processed
165,FR0005,P004,2026-04-01,1393.0,1393.0,0.0,Processed
166,FR0005,P004,2026-05-01,1261.44,1261.44,0.0,Processed
167,FR0005,P004,2026-06-01,1818.22,1818.22,0.0,Processed
168,FR0005,P004,2026-07-01,1362.4,1362.4,0.0,Processed
169,FR0006,P018,2026-01-01,2367.12,2367.12,0.0,Processed
170,FR0006,P018,2026-02-01,968.66,968.66,0.0,Processed
171,FR0006,P018,2026-03-01,1033.18,1033.18,0.0,Processed
172,FR0006,P018,2026-04-01,1366.63,1366.63,0.0,Processed
173,FR0006,P018,2026-05-01,2354.88,2354.88,0.0,Processed
174,FR0006,P018,2026-06-01,2189.31,2189.31,0.0,Processed
175,FR0006,P018,2026-07-01,1593.25,1593.25,0.0,Processed
176,FR0006,P022,2026-01-01,3112.83,3112.83,0.0,Processed
177,FR0006,P022,2026-02-01,2643.02,2643.02,0.0,Processed
178,FR0006,P022,2026-03-01,2265.3,2265.3,0.0,Processed
179,FR0006,P022,2026-04-01,2258.45,2258.45,0.0,Processed
180,FR0006,P022,2026-05-01,2034.83,2034.83,0.0,Processed
181,FR0006,P022,2026-06-01,2951.16,8836.35,5885.18,Processed
182,FR0006,P022,2026-07-01,2798.66,2798.66,0.0,Processed
183,FR0006,P026,2026-01-01,0.0,0.0,0.0,Processed
184,FR0006,P026,2026-02-01,0.0,0.0,0.0,Processed
185,FR0006,P026,2026-03-01,0.0,0.0,0.0,Processed
186,FR0006,P026,2026-04-01,237.61,237.61,0.0,Processed
187,FR0006,P026,2026-05-01,0.0,0.0,0.0,Processed
188,FR0006,P026,2026-06-01,312.99,312.99,0.0,Processed
189,FR0006,P026,2026-07-01,377.91,377.91,0.0,Processed
190,FR0006,P007,2026-01-01,812.08,812.08,0.0,Processed
191,FR0006,P007,2026-02-01,485.88,485.88,0.0,Processed
192,FR0006,P007,2026-03-01,980.07,980.07,0.0,Processed
193,FR0006,P007,2026-04-01,1534.64,1534.64,0.0,Processed
194,FR0006,P007,2026-05-01,694.37,694.37,0.0,Processed
195,FR0006,P007,2026-06-01,393.82,393.82,0.0,Processed
196,FR0006,P007,2026-07-01,296.91,296.91,0.0,Processed
197,FR0006,P005,2026-01-01,0.0,0.0,0.0,Processed
198,FR0006,P005,2026-02-01,0.0,0.0,0.0,Processed
199,FR0006,P005,2026-03-01,0.0,0.0,0.0,Processed
200,FR0006,P005,2026-04-01,0.0,0.0,0.0,Processed
201,FR0006,P005,2026-05-01,0.0,0.0,0.0,Processed
202,FR0006,P005,2026-06-01,0.0,0.0,0.0,Processed
203,FR0006,P005,2026-07-01,0.0,0.0,0.0,Processed
204,FR0006,P010,2026-01-01,3669.92,3669.92,0.0,Processed
205,FR0006,P010,2026-02-01,4622.69,4622.69,0.0,Processed
206,FR0006,P010,2026-03-01,3118.27,3118.27,0.0,Processed
207,FR0006,P010,2026-04-01,2625.59,2625.59,0.0,Processed
208,FR0006,P010,2026-05-01,4313.28,4313.28,0.0,Processed
209,FR0006,P010,2026-06-01,3610.96,3610.96,0.0,Processed
210,FR0006,P010,2026-07-01,3896.2,3896.2,0.0,Processed
211,FR0006,P023,2026-01-01,3790.38,3790.38,0.0,Processed
212,FR0006,P023,2026-02-01,3506.26,3506.26,0.0,Processed
213,FR0006,P023,2026-03-01,3503.45,3503.45,0.0,Processed
214,FR0006,P023,2026-04-01,3958.53,3958.53,0.0,Processed
215,FR0006,P023,2026-05-01,3431.45,3431.45,0.0,Processed
216,FR0006,P023,2026-06-01,3938.86,3938.86,0.0,Processed
217,FR0006,P023,2026-07-01,3375.59,3375.59,0.0,Processed
218,FR0007,P027,2026-01-01,0.0,0.0,0.0,Processed
219,FR0007,P027,2026-02-01,0.0,0.0,0.0,Processed
220,FR0007,P027,2026-03-01,0.0,0.0,0.0,Processed
221,FR0007,P027,2026-04-01,0.0,0.0,0.0,Processed
222,FR0007,P027,2026-05-01,0.0,0.0,0.0,Processed
223,FR0007,P027,2026-06-01,0.0,0.0,0.0,Processed
224,FR0007,P027,2026-07-01,0.0,0.0,0.0,Processed
225,FR0007,P003,2026-01-01,5373.71,12966.96,7593.25,Processed
226,FR0007,P003,2026-02-01,9694.26,9694.26,0.0,Processed
227,FR0007,P003,2026-03-01,4387.22,4387.22,0.0,Processed
228,FR0007,P003,2026-04-01,5011.27,5011.27,0.0,Processed
229,FR0007,P003,2026-05-01,4988.89,4988.89,0.0,Processed
230,FR0007,P003,2026-06-01,4368.84,4368.84,0.0,Processed
231,FR0007,P003,2026-07-01,4905.18,4905.18,0.0,Processed
232,FR0007,P001,2026-01-01,8000.6,8000.6,0.0,Processed
233,FR0007,P001,2026-02-01,6568.91,6568.91,0.0,Processed
234,FR0007,P001,2026-03-01,7629.38,7629.38,0.0,Processed
235,FR0007,P001,2026-04-01,6238.18,6238.18,0.0,Processed
236,FR0007,P001,2026-05-01,6558.98,6558.98,0.0,Processed
237,FR0007,P001,2026-06-01,6684.36,6684.36,0.0,Processed
238,FR0007,P001,2026-07-01,7239.95,7239.95,0.0,Processed
239,FR0008,P014,2026-01-01,6979.17,6979.17,0.0,Processed
240,FR0008,P014,2026-02-01,7395.17,7395.17,0.0,Processed
241,FR0008,P014,2026-03-01,6656.79,6656.79,0.0,Processed
242,FR0008,P014,2026-04-01,7157.65,7157.65,0.0,Processed
243,FR0008,P014,2026-05-01,6918.1,6918.1,0.0,Processed
244,FR0008,P014,2026-06-01,6511.75,6511.75,0.0,Processed
245,FR0008,P014,2026-07-01,7117.71,7117.71,0.0,Processed
246,FR0008,P006,2026-01-01,1998.57,1998.57,0.0,Processed
247,FR0008,P006,2026-02-01,1973.11,1973.11,0.0,Processed
248,FR0008,P006,2026-03-01,1568.47,1568.47,0.0,Processed
249,FR0008,P006,2026-04-01,1780.7,1780.7,0.0,Processed
250,FR0008,P006,2026-05-01,1695.66,1695.66,0.0,Processed
251,FR0008,P006,2026-06-01,1789.43,1789.43,0.0,Processed
252,FR0008,P006,2026-07-01,1631.7,1631.7,0.0,Processed
253,FR0008,P025,2026-01-01,4406.87,4406.87,0.0,Processed
254,FR0008,P025,2026-02-01,4822.83,4822.83,0.0,Processed
255,FR0008,P025,2026-03-01,3921.98,3921.98,0.0,Processed
256,FR0008,P025,2026-04-01,4642.86,4642.86,0.0,Processed
257,FR0008,P025,2026-05-01,4201.15,4201.15,0.0,Processed
258,FR0008,P025,2026-06-01,3909.97,3909.97,0.0,Processed
259,FR0008,P025,2026-07-01,4823.03,4823.03,0.0,Processed
260,FR0008,P011,2026-01-01,8763.83,8763.83,0.0,Processed
261,FR0008,P011,2026-02-01,9000.76,9000.76,0.0,Processed
262,FR0008,P011,2026-03-01,9619.76,9619.76,0.0,Processed
263,FR0008,P011,2026-04-01,8799.19,8799.19,0.0,Processed
264,FR0008,P011,2026-05-01,9564.95,9564.95,0.0,Processed
265,FR0008,P011,2026-06-01,9676.59,9676.59,0.0,Processed
266,FR0008,P011,2026-07-01,9217.8,9217.8,0.0,Processed
267,FR0008,P008,2026-01-01,6009.89,6009.89,0.0,Processed
268,FR0008,P008,2026-02-01,5282.45,5282.45,0.0,Processed
269,FR0008,P008,2026-03-01,5024.23,5024.23,0.0,Processed
270,FR0008,P008,2026-04-01,4925.52,4925.52,0.0,Processed
271,FR0008,P008,2026-05-01,4909.73,4909.73,0.0,Processed
272,FR0008,P008,2026-06-01,5727.85,5727.85,0.0,Processed
273,FR0008,P008,2026-07-01,5398.78,5398.78,0.0,Processed
274,FR0008,P010,2026-01-01,3530.03,3530.03,0.0,Processed
275,FR0008,P010,2026-02-01,5370.22,5370.22,0.0,Processed
276,FR0008,P010,2026-03-01,4940.76,4940.76,0.0,Processed
277,FR0008,P010,2026-04-01,5171.18,5171.18,0.0,Processed
278,FR0008,P010,2026-05-01,3252.93,3252.93,0.0,Processed
279,FR0008,P010,2026-06-01,3965.41,3965.41,0.0,Processed
280,FR0008,P010,2026-07-01,4454.69,4454.69,0.0,Processed
281,FR0009,P006,2026-01-01,2832.22,2832.22,0.0,Processed
282,FR0009,P006,2026-02-01,2616.58,11105.69,8489.11,Processed
283,FR0009,P006,2026-03-01,3132.93,3132.93,0.0,Processed
284,FR0009,P006,2026-04-01,2927.75,2927.75,0.0,Processed
285,FR0009,P006,2026-05-01,2803.32,2803.32,0.0,Processed
286,FR0009,P006,2026-06-01,2837.18,2837.18,0.0,Processed
287,FR0009,P006,2026-07-01,2412.51,2412.51,0.0,Processed
288,FR0009,P018,2026-01-01,0.0,0.0,0.0,Processed
289,FR0009,P018,2026-02-01,0.0,0.0,0.0,Processed
290,FR0009,P018,2026-03-01,0.0,0.0,0.0,Processed
291,FR0009,P018,2026-04-01,0.0,0.0,0.0,Processed
292,FR0009,P018,2026-05-01,0.0,0.0,0.0,Processed
293,FR0009,P018,2026-06-01,0.0,0.0,0.0,Processed
294,FR0009,P018,2026-07-01,0.0,0.0,0.0,Processed
295,FR0009,P022,2026-01-01,2210.3,2210.3,0.0,Processed
296,FR0009,P022,2026-02-01,2459.67,2459.67,0.0,Processed
297,FR0009,P022,2026-03-01,2369.68,2369.68,0.0,Processed
298,FR0009,P022,2026-04-01,2204.07,2204.07,0.0,Processed
299,FR0009,P022,2026-05-01,3390.14,3390.14,0.0,Processed
300,FR0009,P022,2026-06-01,3016.08,3016.08,0.0,Processed
301,FR0009,P022,2026-07-01,2116.03,2116.03,0.0,Processed
302,FR0010,P027,2026-01-01,0.0,0.0,0.0,Processed
303,FR0010,P027,2026-02-01,0.0,0.0,0.0,Processed
304,FR0010,P027,2026-03-01,0.0,0.0,0.0,Processed
305,FR0010,P027,2026-04-01,0.0,0.0,0.0,Processed
306,FR0010,P027,2026-05-01,0.0,0.0,0.0,Processed
307,FR0010,P027,2026-06-01,0.0,0.0,0.0,Processed
308,FR0010,P027,2026-07-01,0.0,0.0,0.0,Processed
309,FR0010,P011,2026-01-01,9100.38,9100.38,0.0,Processed
310,FR0010,P011,2026-02-01,9468.19,9468.19,0.0,Processed
311,FR0010,P011,2026-03-01,9918.14,9918.14,0.0,Processed
312,FR0010,P011,2026-04-01,10293.93,10293.93,0.0,Processed
313,FR0010,P011,2026-05-01,9672.89,9672.89,0.0,Processed
314,FR0010,P011,2026-06-01,9133.77,9133.77,0.0,Processed
315,FR0010,P011,2026-07-01,9277.23,9277.23,0.0,Processed
316,FR0010,P026,2026-01-01,0.0,0.0,0.0,Processed
317,FR0010,P026,2026-02-01,0.0,0.0,0.0,Processed
318,FR0010,P026,2026-03-01,186.13,186.13,0.0,Processed
319,FR0010,P026,2026-04-01,82.9,82.9,0.0,Processed
320,FR0010,P026,2026-05-01,82.82,82.82,0.0,Processed
321,FR0010,P026,2026-06-01,0.0,0.0,0.0,Processed
322,FR0010,P026,2026-07-01,0.0,0.0,0.0,Processed
323,FR0010,P010,2026-01-01,4613.97,4613.97,0.0,Processed
324,FR0010,P010,2026-02-01,5232.64,5232.64,0.0,Processed
325,FR0010,P010,2026-03-01,3404.14,3404.14,0.0,Processed
326,FR0010,P010,2026-04-01,4235.82,4235.82,0.0,Processed
327,FR0010,P010,2026-05-01,3770.97,3770.97,0.0,Processed
328,FR0010,P010,2026-06-01,4624.77,4624.77,0.0,Processed
329,FR0010,P010,2026-07-01,5218.34,5218.34,0.0,Processed
330,FR0010,P007,2026-01-01,3878.66,3878.66,0.0,Processed
331,FR0010,P007,2026-02-01,3192.95,3192.95,0.0,Processed
332,FR0010,P007,2026-03-01,2920.04,2920.04,0.0,Processed
333,FR0010,P007,2026-04-01,16117.51,16117.51,0.0,Processed
334,FR0010,P007,2026-05-01,4250.11,4250.11,0.0,Processed
335,FR0010,P007,2026-06-01,3156.86,3156.86,0.0,Processed
336,FR0010,P007,2026-07-01,2958.8,2958.8,0.0,Processed
337,FR0010,P003,2026-01-01,7952.73,7952.73,0.0,Processed
338,FR0010,P003,2026-02-01,8524.59,14934.06,6409.47,Processed
339,FR0010,P003,2026-03-01,8648.58,8648.58,0.0,Processed
340,FR0010,P003,2026-04-01,7536.61,7536.61,0.0,Processed
341,FR0010,P003,2026-05-01,8822.42,8822.42,0.0,Processed
342,FR0010,P003,2026-06-01,15942.27,21543.1,5600.82,Processed
343,FR0010,P003,2026-07-01,8673.95,8673.95,0.0,Processed
344,FR0010,P014,2026-01-01,2850.95,2850.95,0.0,Processed
345,FR0010,P014,2026-02-01,3327.06,3327.06,0.0,Processed
346,FR0010,P014,2026-03-01,3156.48,3156.48,0.0,Processed
347,FR0010,P014,2026-04-01,2875.4,2875.4,0.0,Processed
348,FR0010,P014,2026-05-01,2942.25,2942.25,0.0,Processed
349,FR0010,P014,2026-06-01,3286.9,3286.9,0.0,Processed
350,FR0010,P014,2026-07-01,3248.96,3248.96,0.0,Processed
351,FR0011,P028,2026-01-01,0.0,0.0,0.0,Processed
352,FR0011,P028,2026-02-01,0.0,0.0,0.0,Processed
353,FR0011,P028,2026-03-01,0.0,0.0,0.0,Processed
354,FR0011,P028,2026-04-01,0.0,0.0,0.0,Processed
355,FR0011,P028,2026-05-01,0.0,0.0,0.0,Processed
356,FR0011,P028,2026-06-01,0.0,0.0,0.0,Processed
357,FR0011,P028,2026-07-01,0.0,0.0,0.0,Processed
358,FR0011,P006,2026-01-01,658.09,658.09,0.0,Processed
359,FR0011,P006,2026-02-01,664.02,664.02,0.0,Processed
360,FR0011,P006,2026-03-01,407.26,407.26,0.0,Processed
361,FR0011,P006,2026-04-01,509.24,509.24,0.0,Processed
362,FR0011,P006,2026-05-01,243.27,7515.86,7272.59,Processed
363,FR0011,P006,2026-06-01,291.67,291.67,0.0,Processed
364,FR0011,P006,2026-07-01,247.61,247.61,0.0,Processed
365,FR0011,P023,2026-01-01,3518.51,3518.51,0.0,Processed
366,FR0011,P023,2026-02-01,3092.15,3092.15,0.0,Processed
367,FR0011,P023,2026-03-01,3186.26,3186.26,0.0,Processed
368,FR0011,P023,2026-04-01,3428.35,3428.35,0.0,Processed
369,FR0011,P023,2026-05-01,3698.3,3698.3,0.0,Processed
370,FR0011,P023,2026-06-01,3064.26,3064.26,0.0,Processed
371,FR0011,P023,2026-07-01,3756.85,3756.85,0.0,Processed
372,FR0012,P013,2026-01-01,6372.48,6372.48,0.0,Processed
373,FR0012,P013,2026-02-01,6270.46,6270.46,0.0,Processed
374,FR0012,P013,2026-03-01,4676.04,4676.04,0.0,Processed
375,FR0012,P013,2026-04-01,5468.4,5468.4,0.0,Processed
376,FR0012,P013,2026-05-01,5883.39,5883.39,0.0,Processed
377,FR0012,P013,2026-06-01,5902.44,5902.44,0.0,Processed
378,FR0012,P013,2026-07-01,4659.96,4659.96,0.0,Processed
379,FR0012,P011,2026-01-01,11104.52,11104.52,0.0,Processed
380,FR0012,P011,2026-02-01,9677.94,9677.94,0.0,Processed
381,FR0012,P011,2026-03-01,9681.52,9681.52,0.0,Processed
382,FR0012,P011,2026-04-01,11067.04,11067.04,0.0,Processed
383,FR0012,P011,2026-05-01,10962.24,10962.24,0.0,Processed
384,FR0012,P011,2026-06-01,10627.56,10627.56,0.0,Processed
385,FR0012,P011,2026-07-01,10679.99,10679.99,0.0,Processed
386,FR0012,P029,2026-01-01,594.94,594.94,0.0,Processed
387,FR0012,P029,2026-02-01,790.84,790.84,0.0,Processed
388,FR0012,P029,2026-03-01,845.96,845.96,0.0,Processed
389,FR0012,P029,2026-04-01,626.34,7046.31,6419.98,Processed
390,FR0012,P029,2026-05-01,1079.49,1079.49,0.0,Processed
391,FR0012,P029,2026-06-01,856.21,856.21,0.0,Processed
392,FR0012,P029,2026-07-01,1116.97,1116.97,0.0,Processed
393,FR0013,P014,2026-01-01,8122.37,8122.37,0.0,Processed
394,FR0013,P014,2026-02-01,8158.63,8158.63,0.0,Processed
395,FR0013,P014,2026-03-01,8063.25,8063.25,0.0,Processed
396,FR0013,P014,2026-04-01,8595.96,8595.96,0.0,Processed
397,FR0013,P014,2026-05-01,7460.34,7460.34,0.0,Processed
398,FR0013,P014,2026-06-01,8505.42,8505.42,0.0,Processed
399,FR0013,P014,2026-07-01,7407.29,7407.29,0.0,Processed
400,FR0013,P022,2026-01-01,1298.69,1298.69,0.0,Processed
401,FR0013,P022,2026-02-01,1297.04,1297.04,0.0,Processed
402,FR0013,P022,2026-03-01,1204.09,1204.09,0.0,Processed
403,FR0013,P022,2026-04-01,1401.5,1401.5,0.0,Processed
404,FR0013,P022,2026-05-01,1791.59,1791.59,0.0,Processed
