representative_id,doctor_id,effective_from,effective_to
FR0031,D000141,2026-01-01,
FR0001,D000142,2026-01-01,
FR0008,D000143,2026-01-01,
FR0081,D000144,2026-01-01,
FR0053,D000145,2026-01-01,
FR0025,D000146,2026-01-01,
FR0034,D000147,2026-01-01,
FR0043,D000148,2026-01-01,
FR0028,D000149,2026-01-01,
FR0091,D000150,2026-01-01,
FR0096,D000151,2026-01-01,
FR0056,D000152,2026-01-01,
FR0092,D000153,2026-01-01,
FR0095,D000154,2026-01-01,
FR0027,D000155,2026-01-01,
FR0080,D000156,2026-01-01,
FR0092,D000157,2026-01-01,
FR0058,D000158,2026-01-01,
FR0055,D000159,2026-01-01,
FR0047,D000160,2026-01-01,
FR0045,D000161,2026-01-01,
FR0041,D000162,2026-01-01,
FR0092,D000163,2026-01-01,
FR0090,D000164,2026-01-01,
FR0025,D000165,2026-01-01,
FR0031,D000166,2026-01-01,
FR0084,D000167,2026-01-01,
FR0011,D000168,2026-01-01,
FR0013,D000169,2026-01-01,
FR0004,D000170,2026-01-01,
FR0013,D000171,2026-01-01,
FR0040,D000172,2026-01-01,
FR0010,D000173,2026-01-01,
FR0083,D000174,2026-01-01,
FR0010,D000175,2026-01-01,
FR0001,D000176,2026-01-01,
FR0076,D000177,2026-01-01,
FR0034,D000178,2026-01-01,
FR0075,D000179,2026-01-01,
FR0021,D000180,2026-01-01,
FR0068,D000181,2026-01-01,
FR0055,D000182,2026-01-01,
FR0093,D000183,2026-01-01,
FR0007,D000184,2026-01-01,
FR0093,D000185,2026-01-01,
FR0076,D000186,2026-01-01,
FR0059,D000187,2026-01-01,
FR0005,D000188,2026-01-01,
FR0022,D000189,2026-01-01,
FR0068,D000190,2026-01-01,
FR0052,D000191,2026-01-01,
FR0091,D000192,2026-01-01,
FR0009,D000193,2026-01-01,
FR0007,D000194,2026-01-01,
FR0073,D000195,2026-01-01,
FR0045,D000196,2026-01-01,
FR0073,D000197,2026-01-01,
FR0051,D000198,2026-01-01,
FR0007,D000199,2026-01-01,
FR0093,D000200,2026-01-01,
FR0083,D000201,2026-01-01,
FR0021,D000202,2026-01-01,
FR0017,D000203,2026-01-01,
FR0008,D000204,2026-01-01,
FR0071,D000205,2026-01-01,
FR0032,D000206,2026-01-01,
FR0056,D000207,2026-01-01,
FR0075,D000208,2026-01-01,
FR0087,D000209,2026-01-01,
FR0077,D000210,2026-01-01,
FR0033,D000211,2026-01-01,
FR0053,D000212,2026-01-01,
FR0054,D000213,2026-01-01,
FR0042,D000214,2026-01-01,
FR0031,D000215,2026-01-01,
FR0043,D000216,2026-01-01,
FR0040,D000217,2026-01-01,
FR0042,D000218,2026-01-01,
FR0032,D000219,2026-01-01,
FR0034,D000220,2026-01-01,
FR0033,D000221,2026-01-01,
FR0049,D000222,2026-01-01,
FR0092,D000223,2026-01-01,
FR0008,D000224,2026-01-01,
FR0075,D000225,2026-01-01,
FR0099,D000226,2026-01-01,
FR0058,D000227,2026-01-01,
FR0099,D000228,2026-01-01,
FR0092,D000229,2026-01-01,
FR0022,D000230,2026-01-01,
FR0005,D000231,2026-01-01,
FR0034,D000232,2026-01-01,
FR0011,D000233,2026-01-01,
FR0040,D000234,2026-01-01,
FR0058,D000235,2026-01-01,
FR0045,D000236,2026-01-01,
FR0073,D000237,2026-01-01,
FR0075,D000238,2026-01-01,
FR0098,D000239,2026-01-01,
FR0001,D000240,2026-01-01,
FR0044,D000241,2026-01-01,
FR0044,D000242,2026-01-01,
FR0083,D000243,2026-01-01,
FR0092,D000244,2026-01-01,
FR0036,D000245,2026-01-01,
FR0003,D000246,2026-01-01,
FR0002,D000247,2026-01-01,
FR0093,D000248,2026-01-01,
FR0077,D000249,2026-01-01,
FR0052,D000250,2026-01-01,
FR0004,D000251,2026-01-01,
FR0041,D000252,2026-01-01,
FR0072,D000253,2026-01-01,
FR0075,D000254,2026-01-01,
FR0010,D000255,2026-01-01,
FR0048,D000256,2026-01-01,
FR0023,D000257,2026-01-01,
FR0069,D000258,2026-01-01,
FR0016,D000259,2026-01-01,
FR0063,D000260,2026-01-01,
FR0026,D000261,2026-01-01,
FR0071,D000262,2026-01-01,
FR0075,D000263,2026-01-01,
FR0087,D000264,2026-01-01,
FR0042,D000265,2026-01-01,
FR0039,D000266,2026-01-01,
FR0046,D000267,2026-01-01,
FR0031,D000268,2026-01-01,
FR0083,D000269,2026-01-01,
FR0012,D000270,2026-01-01,
FR0095,D000271,2026-01-01,
FR0080,D000272,2026-01-01,
FR0016,D000273,2026-01-01,
FR0006,D000274,2026-01-01,
FR0093,D000275,2026-01-01,
FR0025,D000276,2026-01-01,
FR0009,D000277,2026-01-01,
FR0060,D000278,2026-01-01,
FR0096,D000279,2026-01-01,
FR0088,D000280,2026-01-01,
FR0052,D000281,2026-01-01,
FR0097,D000282,2026-01-01,
FR0085,D000283,2026-01-01,
FR0094,D000284,2026-01-01,
FR0027,D000285,2026-01-01,
FR0022,D000286,2026-01-01,
FR0092,D000287,2026-01-01,
FR0058,D000288,2026-01-01,
FR0039,D000289,2026-01-01,
FR0031,D000290,2026-01-01,
FR0053,D000291,2026-01-01,
FR0071,D000292,2026-01-01,
FR0069,D000293,2026-01-01,
FR0057,D000294,2026-01-01,
FR0047,D000295,2026-01-01,
FR0098,D000296,2026-01-01,
FR0099,D000297,2026-01-01,
FR0022,D000298,2026-01-01,
FR0039,D000299,2026-01-01,
FR0056,D000300,2026-01-01,
FR0031,D000301,2026-01-01,
FR0017,D000302,2026-01-01,
FR0051,D000303,2026-01-01,
FR0010,D000304,2026-01-01,
FR0055,D000305,2026-01-01,
FR0078,D000306,2026-01-01,
FR0091,D000307,2026-01-01,
FR0064,D000308,2026-01-01,
FR0039,D000309,2026-01-01,
FR0005,D000310,2026-01-01,
FR0005,D000311,2026-01-01,
FR0018,D000312,2026-01-01,
FR0092,D000313,2026-01-01,
FR0058,D000314,2026-01-01,
FR0053,D000315,2026-01-01,
FR0086,D000316,2026-01-01,
FR0022,D000317,2026-01-01,
FR0008,D000318,2026-01-01,
FR0038,D000319,2026-01-01,
FR0023,D000320,2026-01-01,
FR0057,D000321,2026-01-01,
FR0092,D000322,2026-01-01,
FR0084,D000323,2026-01-01,
FR0087,D000324,2026-01-01,
FR0093,D000325,2026-01-01,
FR0075,D000326,2026-01-01,
FR0003,D000327,2026-01-01,
FR0011,D000328,2026-01-01,
FR0054,D000329,2026-01-01,
FR0003,D000330,2026-01-01,
FR0039,D000331,2026-01-01,
FR0083,D000332,2026-01-01,
FR0058,D000333,2026-01-01,
FR0011,D000334,2026-01-01,
FR0063,D000335,2026-01-01,
FR0059,D000336,2026-01-01,
FR0055,D000337,2026-01-01,
FR0003,D000338,2026-01-01,
FR0074,D000339,2026-01-01,
FR0032,D000340,2026-01-01,
FR0077,D000341,2026-01-01,
FR0071,D000342,2026-01-01,
FR0026,D000343,2026-01-01,
FR0039,D000344,2026-01-01,
FR0075,D000345,2026-01-01,
FR0008,D000346,2026-01-01,
FR0054,D000347,2026-01-01,
FR0030,D000348,2026-01-01,
FR0030,D000349,2026-01-01,
FR0040,D000350,2026-01-01,
FR0019,D000351,2026-01-01,
FR0016,D000352,2026-01-01,
FR0075,D000353,2026-01-01,
FR0092,D000354,2026-01-01,
FR0086,D000355,2026-01-01,
FR0093,D000356,2026-01-01,
FR0045,D000357,2026-01-01,
FR0059,D000358,2026-01-01,
FR0022,D000359,2026-01-01,
FR0036,D000360,2026-01-01,
FR0086,D000361,2026-01-01,
FR0092,D000362,2026-01-01,
FR0008,D000363,2026-01-01,
FR0031,D000364,2026-01-01,
FR0091,D000365,2026-01-01,
FR0002,D000366,2026-01-01,
FR0021,D000367,2026-01-01,
FR0030,D000368,2026-01-01,
FR0005,D000369,2026-01-01,
FR0050,D000370,2026-01-01,
FR0072,D000371,2026-01-01,
FR0081,D000372,2026-01-01,
FR0064,D000373,2026-01-01,
FR0093,D000374,2026-01-01,
FR0043,D000375,2026-01-01,
FR0093,D000376,2026-01-01,
FR0097,D000377,2026-01-01,
FR0019,D000378,2026-01-01,
FR0027,D000379,2026-01-01,
FR0008,D000380,2026-01-01,
FR0010,D000381,2026-01-01,
FR0040,D000382,2026-01-01,
FR0060,D000383,2026-01-01,
FR0032,D000384,2026-01-01,
FR0040,D000385,2026-01-01,
FR0030,D000386,2026-01-01,
FR0063,D000387,2026-01-01,
FR0082,D000388,2026-01-01,
FR0100,D000389,2026-01-01,
FR0056,D000390,2026-01-01,
FR0065,D000391,2026-01-01,
FR0099,D000392,2026-01-01,
FR0027,D000393,2026-01-01,
FR0057,D000394,2026-01-01,
FR0008,D000395,2026-01-01,
FR0011,D000396,2026-01-01,
FR0031,D000397,2026-01-01,
FR0048,D000398,2026-01-01,
FR0097,D000399,2026-01-01,
FR0092,D000400,2026-01-01,
FR0087,D000401,2026-01-01,
FR0009,D000402,2026-01-01,
FR0070,D000403,2026-01-01,
FR0100,D000404,2026-01-01,
FR0075,D000405,2026-01-01,
FR0090,D000406,2026-01-01,
FR0051,D000407,2026-01-01,
FR0012,D000408,2026-01-01,
FR0058,D000409,2026-01-01,
FR0082,D000410,2026-01-01,
FR0040,D000411,2026-01-01,
FR0021,D000412,2026-01-01,
FR0086,D000413,2026-01-01,
FR0025,D000414,2026-01-01,
FR0035,D000415,2026-01-01,
FR0075,D000416,2026-01-01,
FR0081,D000417,2026-01-01,
FR0085,D000418,2026-01-01,
FR0006,D000419,2026-01-01,
FR0039,D000420,2026-01-01,
FR0068,D000421,2026-01-01,
FR0008,D000422,2026-01-01,
FR0100,D000423,2026-01-01,
FR0039,D000424,2026-01-01,
FR0022,D000425,2026-01-01,
FR0065,D000426,2026-01-01,
FR0022,D000427,2026-01-01,
FR0013,D000428,2026-01-01,
FR0037,D000429,2026-01-01,
FR0045,D000430,2026-01-01,
FR0034,D000431,2026-01-01,
FR0097,D000432,2026-01-01,
FR0031,D000433,2026-01-01,
FR0099,D000434,2026-01-01,
FR0035,D000435,2026-01-01,
FR0083,D000436,2026-01-01,
FR0092,D000437,2026-01-01,
FR0009,D000438,2026-01-01,
FR0075,D000439,2026-01-01,
FR0011,D000440,2026-01-01,
FR0045,D000441,2026-01-01,
FR0078,D000442,2026-01-01,
FR0068,D000443,2026-01-01,
FR0070,D000444,2026-01-01,
FR0008,D000445,2026-01-01,
FR0055,D000446,2026-01-01,
FR0045,D000447,2026-01-01,
FR0069,D000448,2026-01-01,
FR0046,D000449,2026-01-01,
FR0041,D000450,2026-01-01,
FR0008,D000451,2026-01-01,
FR0022,D000452,2026-01-01,
FR0040,D000453,2026-01-01,
FR0031,D000454,2026-01-01,
FR0027,D000455,2026-01-01,
FR0066,D000456,2026-01-01,
FR0031,D000457,2026-01-01,
FR0016,D000458,2026-01-01,
FR0041,D000459,2026-01-01,
FR0043,D000460,2026-01-01,
FR0033,D000461,2026-01-01,
FR0072,D000462,2026-01-01,
FR0099,D000463,2026-01-01,
FR0075,D000464,2026-01-01,
FR0084,D000465,2026-01-01,
FR0046,D000466,2026-01-01,
FR0045,D000467,2026-01-01,
FR0090,D000468,2026-01-01,
FR0016,D000469,2026-01-01,
FR0055,D000470,2026-01-01,
FR0066,D000471,2026-01-01,
FR0060,D000472,2026-01-01,
FR0016,D000473,2026-01-01,
FR0036,D000474,2026-01-01,
FR0022,D000475,2026-01-01,
FR0024,D000476,2026-01-01,
FR0004,D000477,2026-01-01,
FR0072,D000478,2026-01-01,
FR0070,D000479,2026-01-01,
FR0006,D000480,2026-01-01,
FR0041,D000481,2026-01-01,
FR0078,D000482,2026-01-01,
FR0084,D000483,2026-01-01,
FR0078,D000484,2026-01-01,
FR0098,D000485,2026-01-01,
FR0008,D000486,2026-01-01,
FR0008,D000487,2026-01-01,
FR0081,D000488,2026-01-01,
FR0008,D000489,2026-01-01,
FR0044,D000490,2026-01-01,
FR0091,D000491,2026-01-01,
FR0092,D000492,2026-01-01,
FR0029,D000493,2026-01-01,
FR0058,D000494,2026-01-01,
FR0092,D000495,2026-01-01,
FR0005,D000496,2026-01-01,
FR0032,D000497,2026-01-01,
FR0092,D000498,2026-01-01,
FR0077,D000499,2026-01-01,
FR0066,D000500,2026-01-01,
FR0059,D000501,2026-01-01,
FR0016,D000502,2026-01-01,
FR0025,D000503,2026-01-01,
FR0029,D000504,2026-01-01,
FR0053,D000505,2026-01-01,
FR0094,D000506,2026-01-01,
FR0012,D000507,2026-01-01,
FR0068,D000508,2026-01-01,
FR0005,D000509,2026-01-01,
FR0096,D000510,2026-01-01,
FR0026,D000511,2026-01-01,
FR0086,D000512,2026-01-01,
FR0065,D000513,2026-01-01,
FR0015,D000514,2026-01-01,
FR0059,D000515,2026-01-01,
FR0016,D000516,2026-01-01,
FR0086,D000517,2026-01-01,
FR0079,D000518,2026-01-01,
FR0097,D000519,2026-01-01,
FR0070,D000520,2026-01-01,
FR0036,D000521,2026-01-01,
FR0099,D000522,2026-01-01,
FR0048,D000523,2026-01-01,
FR0055,D000524,2026-01-01,
FR0087,D000525,2026-01-01,
FR0016,D000526,2026-01-01,
FR0033,D000527,2026-01-01,
FR0064,D000528,2026-01-01,
FR0100,D000529,2026-01-01,
FR0048,D000530,2026-01-01,
FR0034,D000531,2026-01-01,
FR0080,D000532,2026-01-01,
FR0038,D000533,2026-01-01,
FR0049,D000534,2026-01-01,
FR0019,D000535,2026-01-01,
FR0072,D000536,2026-01-01,
FR0003,D000537,2026-01-01,
FR0032,D000538,2026-01-01,
FR0008,D000539,2026-01-01,
FR0012,D000540,2026-01-01,
FR0015,D000541,2026-01-01,
FR0008,D000542,2026-01-01,
FR0078,D000543,2026-01-01,
FR0052,D000544,2026-01-01,
FR0008,D000545,2026-01-01,
FR0092,D000546,2026-01-01,
FR0068,D000547,2026-01-01,
FR0025,D000548,2026-01-01,
FR0098,D000549,2026-01-01,
FR0039,D000550,2026-01-01,
FR0085,D000551,2026-01-01,
FR0037,D000552,2026-01-01,
FR0057,D000553,2026-01-01,
FR0070,D000554,2026-01-01,
FR0077,D000555,2026-01-01,
FR0075,D000556,2026-01-01,
FR0010,D000557,2026-01-01,
FR0050,D000558,2026-01-01,
FR0033,D000559,2026-01-01,
FR0019,D000560,2026-01-01,
FR0034,D000561,2026-01-01,
FR0092,D000562,2026-01-01,
FR0066,D000563,2026-01-01,
FR0068,D000564,2026-01-01,
FR0008,D000565,2026-01-01,
FR0039,D000566,2026-01-01,
FR0013,D000567,2026-01-01,
FR0039,D000568,2026-01-01,
FR0019,D000569,2026-01-01,
FR0075,D000570,2026-01-01,
FR0057,D000571,2026-01-01,
FR0068,D000572,2026-01-01,
FR0092,D000573,2026-01-01,
FR0040,D000574,2026-01-01,
FR0066,D000575,2026-01-01,
FR0008,D000576,2026-01-01,
FR0070,D000577,2026-01-01,
FR0085,D000578,2026-01-01,
FR0085,D000579,2026-01-01,
FR0010,D000580,2026-01-01,
FR0016,D000581,2026-01-01,
FR0008,D000582,2026-01-01,
FR0047,D000583,2026-01-01,
FR0033,D000584,2026-01-01,
FR0003,D000585,2026-01-01,
FR0062,D000586,2026-01-01,
FR0034,D000587,2026-01-01,
FR0092,D000588,2026-01-01,
FR0028,D000589,2026-01-01,
FR0067,D000590,2026-01-01,
FR0073,D000591,2026-01-01,
FR0070,D000592,2026-01-01,
FR0092,D000593,2026-01-01,
FR0048,D000594,2026-01-01,
FR0097,D000595,2026-01-01,
FR0016,D000596,2026-01-01,
FR0012,D000597,2026-01-01,
FR0054,D000598,2026-01-01,
FR0094,D000599,2026-01-01,
FR0093,D000600,2026-01-01,
FR0087,D000601,2026-01-01,
FR0006,D000602,2026-01-01,
FR0067,D000603,2026-01-01,
FR0077,D000604,2026-01-01,
FR0075,D000605,2026-01-01,
FR0039,D000606,2026-01-01,
FR0006,D000607,2026-01-01,
FR0049,D000608,2026-01-01,
FR0031,D000609,2026-01-01,
FR0045,D000610,2026-01-01,
FR0024,D000611,2026-01-01,
FR0039,D000612,2026-01-01,
FR0036,D000613,2026-01-01,
FR0045,D000614,2026-01-01,
FR0005,D000615,2026-01-01,
FR0067,D000616,2026-01-01,
FR0092,D000617,2026-01-01,
FR0037,D000618,2026-01-01,
FR0019,D000619,2026-01-01,
FR0094,D000620,2026-01-01,
FR0095,D000621,2026-01-01,
FR0045,D000622,2026-01-01,
FR0092,D000623,2026-01-01,
FR0021,D000624,2026-01-01,
FR0031,D000625,2026-01-01,
FR0010,D000626,2026-01-01,
FR0032,D000627,2026-01-01,
FR0011,D000628,2026-01-01,
FR0073,D000629,2026-01-01,
FR0030,D000630,2026-01-01,
FR0039,D000631,2026-01-01,
FR0032,D000632,2026-01-01,
FR0063,D000633,2026-01-01,
FR0072,D000634,2026-01-01,
FR0033,D000635,2026-01-01,
FR0068,D000636,2026-01-01,
FR0053,D000637,2026-01-01,
FR0031,D000638,2026-01-01,
FR0015,D000639,2026-01-01,
FR0092,D000640,2026-01-01,
FR0003,D000641,2026-01-01,
FR0008,D000642,2026-01-01,
FR0031,D000643,2026-01-01,
FR0074,D000644,2026-01-01,
FR0075,D000645,2026-01-01,
FR0056,D000646,2026-01-01,
FR0078,D000647,2026-01-01,
FR0039,D000648,2026-01-01,
FR0092,D000649,2026-01-01,
FR0067,D000650,2026-01-01,
FR0100,D000651,2026-01-01,
FR0078,D000652,2026-01-01,
FR0098,D000653,2026-01-01,
FR0045,D000654,2026-01-01,
FR0099,D000655,2026-01-01,
FR0081,D000656,2026-01-01,
FR0100,D000657,2026-01-01,
FR0005,D000658,2026-01-01,
FR0082,D000659,2026-01-01,
FR0031,D000660,2026-01-01,
FR0050,D000661,2026-01-01,
FR0087,D000662,2026-01-01,
FR0045,D000663,2026-01-01,
FR0076,D000664,2026-01-01,
FR0054,D000665,2026-01-01,
FR0100,D000666,2026-01-01,
FR0079,D000667,2026-01-01,
FR0093,D000668,2026-01-01,
FR0061,D000669,2026-01-01,
FR0092,D000670,2026-01-01,
FR0031,D000671,2026-01-01,
FR0057,D000672,2026-01-01,
FR0045,D000673,2026-01-01,
FR0003,D000674,2026-01-01,
FR0081,D000675,2026-01-01,
FR0021,D000676,2026-01-01,
FR0099,D000677,2026-01-01,
FR0088,D000678,2026-01-01,
FR0056,D000679,2026-01-01,
FR0040,D000680,2026-01-01,
FR0062,D000681,2026-01-01,
FR0063,D000682,2026-01-01,
FR0063,D000683,2026-01-01,
FR0080,D000684,2026-01-01,
FR0031,D000685,2026-01-01,
FR0097,D000686,2026-01-01,
FR0058,D000687,2026-01-01,
FR0094,D000688,2026-01-01,
FR0060,D000689,2026-01-01,
FR0013,D000690,2026-01-01,
FR0016,D000691,2026-01-01,
FR0038,D000692,2026-01-01,
FR0042,D000693,2026-01-01,
FR0004,D000694,2026-01-01,
FR0022,D000695,2026-01-01,
FR0094,D000696,2026-01-01,
FR0075,D000697,2026-01-01,
FR0092,D000698,2026-01-01,
FR0091,D000699,2026-01-01,
FR0003,D000700,2026-01-01,
FR0100,D000701,2026-01-01,
FR0056,D000702,2026-01-01,
FR0047,D000703,2026-01-01,
FR0092,D000704,2026-01-01,
FR0029,D000705,2026-01-01,
FR0088,D000706,2026-01-01,
FR0064,D000707,2026-01-01,
FR0020,D000708,2026-01-01,
FR0008,D000709,2026-01-01,
FR0036,D000710,2026-01-01,
FR0038,D000711,2026-01-01,
FR0072,D000712,2026-01-01,
FR0078,D000713,2026-01-01,
FR0020,D000714,2026-01-01,
FR0057,D000715,2026-01-01,
FR0093,D000716,2026-01-01,
FR0078,D000717,2026-01-01,
FR0058,D000718,2026-01-01,
FR0031,D000719,2026-01-01,
FR0024,D000720,2026-01-01,
FR0024,D000721,2026-01-01,
FR0031,D000722,2026-01-01,
FR0055,D000723,2026-01-01,
FR0012,D000724,2026-01-01,
FR0014,D000725,2026-01-01,
FR0048,D000726,2026-01-01,
FR0015,D000727,2026-01-01,
FR0096,D000728,2026-01-01,
FR0099,D000729,2026-01-01,
FR0005,D000730,2026-01-01,
FR0011,D000731,2026-01-01,
FR0093,D000732,2026-01-01,
FR0089,D000733,2026-01-01,
FR0017,D000734,2026-01-01,
FR0094,D000735,2026-01-01,
FR0100,D000736,2026-01-01,
FR0082,D000737,2026-01-01,
FR0015,D000738,2026-01-01,
FR0040,D000739,2026-01-01,
FR0031,D000740,2026-01-01,
FR0025,D000741,2026-01-01,
FR0057,D000742,2026-01-01,
FR0020,D000743,2026-01-01,
FR0024,D000744,2026-01-01,
FR0022,D000745,2026-01-01,
FR0060,D000746,2026-01-01,
FR0036,D000747,2026-01-01,
FR0033,D000748,2026-01-01,
FR0008,D000749,2026-01-01,
FR0100,D000750,2026-01-01,
FR0037,D000751,2026-01-01,
FR0070,D000752,2026-01-01,
FR0049,D000753,2026-01-01,
FR0028,D000754,2026-01-01,
FR0022,D000755,2026-01-01,
FR0077,D000756,2026-01-01,
FR0048,D000757,2026-01-01,
FR0017,D000758,2026-01-01,
FR0092,D000759,2026-01-01,
FR0059,D000760,2026-01-01,
FR0060,D000761,2026-01-01,
FR0019,D000762,2026-01-01,
FR0047,D000763,2026-01-01,
FR0092,D000764,2026-01-01,
FR0061,D000765,2026-01-01,
FR0079,D000766,2026-01-01,
FR0025,D000767,2026-01-01,
FR0022,D000768,2026-01-01,
FR0075,D000769,2026-01-01,
FR0019,D000770,2026-01-01,
FR0094,D000771,2026-01-01,
FR0009,D000772,2026-01-01,
FR0052,D000773,2026-01-01,
FR0049,D000774,2026-01-01,
FR0055,D000775,2026-01-01,
FR0039,D000776,2026-01-01,
FR0057,D000777,2026-01-01,
FR0092,D000778,2026-01-01,
FR0019,D000779,2026-01-01,
FR0078,D000780,2026-01-01,
FR0093,D000781,2026-01-01,
FR0049,D000782,2026-01-01,
FR0005,D000783,2026-01-01,
FR0032,D000784,2026-01-01,
FR0052,D000785,2026-01-01,
FR0068,D000786,2026-01-01,
FR0092,D000787,2026-01-01,
FR0003,D000788,2026-01-01,
FR0080,D000789,2026-01-01,
FR0029,D000790,2026-01-01,
FR0077,D000791,2026-01-01,
FR0097,D000792,2026-01-01,
FR0097,D000793,2026-01-01,
FR0092,D000794,2026-01-01,
FR0042,D000795,2026-01-01,
FR0039,D000796,2026-01-01,
FR0009,D000797,2026-01-01,
FR0056,D000798,2026-01-01,
FR0092,D000799,2026-01-01,
FR0040,D000800,2026-01-01,
FR0001,D000801,2026-01-01,
FR0078,D000802,2026-01-01,
FR0100,D000803,2026-01-01,
FR0092,D000804,2026-01-01,
FR0087,D000805,2026-01-01,
FR0009,D000806,2026-01-01,
FR0072,D000807,2026-01-01,
FR0008,D000808,2026-01-01,
FR0037,D000809,2026-01-01,
FR0050,D000810,2026-01-01,
FR0100,D000811,2026-01-01,
FR0093,D000812,2026-01-01,
FR0031,D000813,2026-01-01,
FR0090,D000814,2026-01-01,
FR0031,D000815,2026-01-01,
FR0017,D000816,2026-01-01,
FR0098,D000817,2026-01-01,
FR0003,D000818,2026-01-01,
FR0005,D000819,2026-01-01,
FR0063,D000820,2026-01-01,
FR0015,D000821,2026-01-01,
